game_id,season,week,simple_spread,enhanced_spread,simple_spread_edge,enhanced_spread_edge,simple_spread_edge_abs,enhanced_spread_edge_abs,avg_spread_edge,avg_spread_edge_abs,spread_agreement,spread_model_diff,vegas_spread,vegas_spread_abs,big_favorite,close_game,recent_spread_acc,home_games,away_games,combined_games,home_rest,away_rest,rest_diff,conference_game,neutral_site,week_normalized,early_season,mid_season,late_season,spread_cover,actual_spread
401403905,2022,5,1.8936397237438714,-2.3145918318818914,8.39363972374387,4.185408168118109,8.39363972374387,4.185408168118109,6.2895239459309895,6.2895239459309895,1,4.208231555625763,-6.5,6.5,0,0,1.0,0.4,0.4,0.4,7,7,0,1,0,0.35714285714285715,0,1,0,1.0,-3
401404085,2022,5,3.820935475849166,1.6119649562924536,11.320935475849165,9.111964956292454,11.320935475849165,9.111964956292454,10.21645021607081,10.21645021607081,1,2.208970519556712,-7.5,7.5,0,0,0.3333333333333333,0.4,0.4,0.4,7,7,0,1,0,0.35714285714285715,0,1,0,0.0,-9
401404086,2022,5,-11.394329937213062,10.695512241324835,-16.39432993721306,5.695512241324835,16.39432993721306,5.695512241324835,-5.3494088479441135,5.3494088479441135,0,22.089842178537896,5.0,5.0,0,0,0.5,0.3,0.4,0.35,7,7,0,1,0,0.35714285714285715,0,1,0,1.0,-31
401404087,2022,5,3.1052682401189218,46.38135591879654,10.60526824011892,53.88135591879654,10.60526824011892,53.88135591879654,32.24331207945773,32.24331207945773,1,43.27608767867761,-7.5,7.5,0,0,0.4,0.4,0.4,0.4,7,9,-2,1,0,0.35714285714285715,0,1,0,0.0,-18
401404137,2022,5,-18.46807968976055,-25.541391056455858,-9.96807968976055,-17.041391056455858,9.96807968976055,17.041391056455858,-13.504735373108204,13.504735373108204,1,7.073311366695307,-8.5,8.5,0,0,0.3333333333333333,0.3,0.4,0.35,14,9,5,0,0,0.35714285714285715,0,1,0,0.0,17
401405099,2022,5,9.786527205223983,18.648165570138897,16.286527205223983,25.148165570138897,16.286527205223983,25.148165570138897,20.717346387681438,20.717346387681438,1,8.861638364914914,-6.5,6.5,0,0,0.42857142857142855,0.4,0.4,0.4,7,9,-2,1,0,0.35714285714285715,0,1,0,1.0,24
401405100,2022,5,18.321325350040574,35.592566625929656,7.821325350040574,25.092566625929656,7.821325350040574,25.092566625929656,16.456945987985115,16.456945987985115,1,17.271241275889082,10.5,10.5,0,0,0.5,0.4,0.4,0.4,7,7,0,1,0,0.35714285714285715,0,1,0,1.0,13
401405101,2022,5,-12.313330527660892,-46.95045460052752,-3.3133305276608915,-37.95045460052752,3.3133305276608915,37.95045460052752,-20.63189256409421,20.63189256409421,1,34.63712407286663,-9.0,9.0,0,0,0.4444444444444444,0.4,0.4,0.4,7,7,0,1,0,0.35714285714285715,0,1,0,0.0,10
401411124,2022,5,20.180046845708404,46.465693715195066,6.680046845708404,32.965693715195066,6.680046845708404,32.965693715195066,19.82287028045174,19.82287028045174,1,26.285646869486662,13.5,13.5,0,0,0.4,0.4,0.4,0.4,7,7,0,1,0,0.35714285714285715,0,1,0,0.0,-1
401413218,2022,5,5.825422881955716,7.600461624369206,18.325422881955717,20.100461624369206,18.325422881955717,20.100461624369206,19.21294225316246,19.21294225316246,1,1.7750387424134901,-12.5,12.5,0,0,0.45454545454545453,0.5,0.3,0.4,7,7,0,1,0,0.35714285714285715,0,1,0,1.0,-7
401415227,2022,5,-9.173370344711849,-10.548019965317645,4.826629655288151,3.4519800346823555,4.826629655288151,3.4519800346823555,4.139304844985254,4.139304844985254,1,1.3746496206057959,-14.0,14.0,0,0,0.5,0.3,0.3,0.3,8,7,1,0,0,0.35714285714285715,0,1,0,1.0,-3
401415626,2022,5,33.979704794203684,66.91273368157792,24.479704794203684,57.41273368157792,24.479704794203684,57.41273368157792,40.9462192378908,40.9462192378908,1,32.933028887374235,9.5,9.5,0,0,0.5384615384615384,0.4,0.4,0.4,7,7,0,1,1,0.35714285714285715,0,1,0,1.0,20
401415628,2022,5,3.4846901378453454,3.9316451055848844,21.984690137845345,22.431645105584884,21.984690137845345,22.431645105584884,22.208167621715116,22.208167621715116,1,0.446954967739539,-18.5,18.5,1,0,0.4666666666666667,0.4,0.4,0.4,7,7,0,1,0,0.35714285714285715,0,1,0,0.0,-21
401416608,2022,5,-1.629011631614925,-30.789091432204696,-5.129011631614925,-34.2890914322047,5.129011631614925,34.2890914322047,-19.70905153190981,19.70905153190981,1,29.16007980058977,3.5,3.5,0,0,0.5,0.4,0.4,0.4,7,7,0,1,0,0.35714285714285715,0,1,0,1.0,-6
401420870,2022,5,1.6298979170126993,-7.9496289458569604,7.629897917012699,-1.9496289458569604,7.629897917012699,1.9496289458569604,2.8401344855778694,2.8401344855778694,0,9.57952686286966,-6.0,6.0,0,0,0.5294117647058824,0.3,0.2,0.25,14,14,0,1,1,0.35714285714285715,0,1,0,1.0,-1
