season,date,bowl_name,winner,winner_rank,winner_score,loser,loser_rank,loser_score,margin,total_points
2022,2022-12-17,New Mexico Bowl,Brigham Young,,24,Southern Methodist,,23,1,47
2022,2022-12-17,LendingTree Bowl,Southern Mississippi,,38,Rice,,24,14,62
2022,2022-12-17,LA Bowl,Fresno State,,29,Washington State,,6,23,35
2022,2022-12-17,Las Vegas Bowl,Oregon State,17,30,Florida,,3,27,33
2022,2022-12-17,Fenway Bowl,Louisville,,24,Cincinnati,,7,17,31
2022,2022-12-16,Cure Bowl,Troy,23,18,Texas-San Antonio,22,12,6,30
2022,2022-12-16,Bahamas Bowl,Alabama-Birmingham,,24,Miami (OH),,20,4,44
2023,2024-01-08,College Football Playoff National Championship,Michigan,1,34,Washington,2,13,21,47
2023,2024-01-01,Sugar Bowl,Washington,2,37,Texas,3,31,6,68
2023,2024-01-01,Rose Bowl,Michigan,1,27,Alabama,5,20,7,47
2023,2024-01-01,Citrus Bowl,Tennessee,25,35,Iowa,20,0,35,35
2023,2024-01-01,Fiesta Bowl,Oregon,8,45,Liberty,18,6,39,51
2023,2024-01-01,ReliaQuest Bowl,Louisiana State,13,35,Wisconsin,,31,4,66
2023,2023-12-30,Arizona Bowl,Wyoming,,16,Toledo,,15,1,31
2023,2023-12-30,Orange Bowl,Georgia,6,63,Florida State,4,3,60,66
2023,2023-12-30,Music City Bowl,Maryland,,31,Auburn,,13,18,44
2023,2023-12-30,Peach Bowl,Mississippi,11,38,Penn State,10,25,13,63
2023,2023-12-29,Cotton Bowl,Missouri,9,14,Ohio State,7,3,11,17
2023,2023-12-29,Sun Bowl,Notre Dame,15,40,Oregon State,21,8,32,48
2023,2023-12-29,Liberty Bowl,Memphis,,36,Iowa State,,26,10,62
2023,2023-12-29,Gator Bowl,Clemson,,38,Kentucky,,35,3,73
2023,2023-12-28,Alamo Bowl,Arizona,14,38,Oklahoma,12,24,14,62
2023,2023-12-28,Pop-Tarts Bowl,Kansas State,,28,North Carolina State,19,19,9,47
2023,2023-12-28,Pinstripe Bowl,Rutgers,,31,Miami (FL),,24,7,55
2023,2023-12-28,Fenway Bowl,Boston College,,23,Southern Methodist,17,14,9,37
2023,2023-12-27,Texas Bowl,Oklahoma State,22,31,Texas A&M,,23,8,54
2023,2023-12-27,Holiday Bowl,Southern California,,42,Louisville,16,28,14,70
2023,2023-12-27,Duke's Mayo Bowl,West Virginia,,30,North Carolina,,10,20,40
2023,2023-12-27,Military Bowl,Virginia Tech,,41,Tulane,23,20,21,61
2023,2023-12-26,Guaranteed Rate Bowl,Kansas,,49,Nevada-Las Vegas,,36,13,85
2023,2023-12-26,First Responder Bowl,Texas State,,45,Rice,,21,24,66
2023,2023-12-26,Quick Lane Bowl,Minnesota,,30,Bowling Green,,24,6,54
2023,2023-12-23,Hawaii Bowl,Coastal Carolina,,24,San Jose State,,14,10,38
2023,2023-12-23,Las Vegas Bowl,Northwestern,,14,Utah,,7,7,21
2023,2023-12-23,68 Ventures Bowl,South Alabama,,59,Eastern Michigan,,10,49,69
2023,2023-12-23,Armed Forces Bowl,Air Force,,31,James Madison,24,21,10,52
2023,2023-12-23,Famous Idaho Potato Bowl,Georgia State,,45,Utah State,,22,23,67
2023,2023-12-23,Birmingham Bowl,Duke,,17,Troy,,10,7,27
2023,2023-12-23,Camellia Bowl,Northern Illinois,,21,Arkansas State,,19,2,40
2023,2023-12-22,Union Home Mortgage Gasparilla Bowl,Georgia Tech,,30,Central Florida,,17,13,47
2023,2023-12-21,Boca Raton Bowl,South Florida,,45,Syracuse,,0,45,45
2023,2023-12-19,Frisco Bowl,Texas-San Antonio,,35,Marshall,,17,18,52
2023,2023-12-18,Famous Toastery Bowl,Western Kentucky,,38,Old Dominion,,35,3,73
2023,2023-12-16,Independence Bowl,Texas Tech,,34,California,,14,20,48
2023,2023-12-16,LA Bowl,UCLA,,35,Boise State,,22,13,57
2023,2023-12-16,New Mexico Bowl,Fresno State,,37,New Mexico State,,10,27,47
2023,2023-12-16,Cure Bowl,Appalachian State,,13,Miami (OH),,9,4,22
2023,2023-12-16,New Orleans Bowl,Jacksonville State,,34,Louisiana,,31,3,65
2023,2023-12-16,Myrtle Beach Bowl,Ohio,,41,Georgia Southern,,21,20,62
