simple_spread_edge,simple_spread_edge_abs,simple_spread,enhanced_spread_edge,enhanced_spread_edge_abs,enhanced_spread,avg_spread_edge,avg_spread_edge_abs,spread_agreement,spread_model_diff,vegas_spread,vegas_spread_abs,big_favorite,close_game,recent_spread_acc,home_games,away_games,combined_games,home_rest,away_rest,rest_diff,home_b2b,away_b2b,season_progress,early_season,mid_season,late_season,neutral_site,conference_game,actual_spread,spread_with_model_wins,spread_fade_model_wins,season
-9.130038994393619,9.130038994393619,-23.63003899439362,-0.05951284585026073,0.05951284585026073,-14.55951284585026,-4.59477592012194,4.59477592012194,1,9.070526148543358,-14.5,14.5,1,0,0.5,0.3,0.25,0.275,5,3,2,0,0,0.2394,1,0,0,1,0,-29,1,0,2024
2.4418242533189085,2.4418242533189085,-3.0581757466810915,1.1916264789761257,1.1916264789761257,-4.308373521023874,1.8167253661475171,1.8167253661475171,1,1.2501977743427828,-5.5,5.5,0,0,1.0,0.25,0.25,0.25,5,5,0,0,0,0.2396,1,0,0,0,0,-10,0,1,2024
-9.365083870388629,9.365083870388629,-3.365083870388629,-8.934307649375892,8.934307649375892,-2.934307649375893,-9.149695759882261,9.149695759882261,1,0.43077622101273594,6.0,6.0,0,0,0.5,0.3,0.35,0.325,3,2,1,0,0,0.2398,1,0,0,0,1,-4,1,0,2024
-11.393114444567182,11.393114444567182,1.606885555432819,-12.060553218334839,12.060553218334839,0.9394467816651604,-11.72683383145101,11.72683383145101,1,0.6674387737676586,13.0,13.0,1,0,0.6666666666666666,0.3,0.3,0.3,2,5,-3,0,0,0.24,1,0,0,0,0,1,1,0,2024
-11.446921414502814,11.446921414502814,-8.446921414502814,-6.086884513547423,6.086884513547423,-3.086884513547423,-8.766902964025117,8.766902964025117,1,5.360036900955391,3.0,3.0,0,1,0.75,0.25,0.3,0.275,5,3,2,0,0,0.2402,1,0,0,1,0,-3,1,0,2024
-10.412533699020944,10.412533699020944,0.08746630097905594,-3.1665170464232526,3.1665170464232526,7.333482953576747,-6.789525372722098,6.789525372722098,1,7.2460166525976915,10.5,10.5,0,0,0.8,0.3,0.3,0.3,1,1,0,0,0,0.2404,1,0,0,0,1,16,0,1,2024
4.093441572285606,4.093441572285606,-18.406558427714394,6.431354160680748,6.431354160680748,-16.068645839319252,5.262397866483177,5.262397866483177,1,2.3379125883951417,-22.5,22.5,1,0,0.6666666666666666,0.35,0.45,0.4,5,1,4,0,0,0.2406,1,0,0,0,0,9,1,0,2024
4.425268465231923,4.425268465231923,-10.074731534768077,11.508602012549662,11.508602012549662,-2.9913979874503385,7.966935238890793,7.966935238890793,1,7.083333547317738,-14.5,14.5,1,0,0.7142857142857143,0.3,0.3,0.3,2,2,0,0,0,0.2408,1,0,0,0,1,-13,1,0,2024
5.506353604241663,5.506353604241663,-4.993646395758337,10.402566222564708,10.402566222564708,-0.09743377743529091,7.954459913403186,7.954459913403186,1,4.896212618323046,-10.5,10.5,0,0,0.75,0.35,0.35,0.35,1,2,-1,0,0,0.241,1,0,0,0,1,-22,0,1,2024
-4.552090777304597,4.552090777304597,-2.0520907773045973,-9.64635274468992,9.64635274468992,-7.14635274468992,-7.099221760997258,7.099221760997258,1,5.094261967385322,2.5,2.5,0,1,0.6666666666666666,0.35,0.35,0.35,3,2,1,0,0,0.2412,1,0,0,0,0,-11,1,0,2024
0.9926119093669046,0.9926119093669046,3.4926119093669046,-3.1043918832232213,3.1043918832232213,-0.6043918832232213,-1.0558899869281584,1.0558899869281584,0,4.097003792590126,2.5,2.5,0,1,0.7,0.3,0.4,0.35,1,3,-2,0,0,0.2414,1,0,0,0,0,4,0,1,2024
-5.287196401049267,5.287196401049267,-3.7871964010492674,-5.959159178172769,5.959159178172769,-4.459159178172769,-5.623177789611018,5.623177789611018,1,0.6719627771235013,1.5,1.5,0,1,0.6363636363636364,0.45,0.35,0.4,0,1,-1,1,0,0.2418,1,0,0,0,0,-5,1,0,2024
-10.06963628478815,10.06963628478815,-16.56963628478815,-8.968101108903962,8.968101108903962,-15.468101108903962,-9.518868696846056,9.518868696846056,1,1.1015351758841874,-6.5,6.5,0,0,0.6666666666666666,0.25,0.4,0.325,2,1,1,0,0,0.242,1,0,0,0,0,-11,1,0,2024
-3.311089853099924,3.311089853099924,-5.811089853099924,-4.39944735949284,4.39944735949284,-6.89944735949284,-3.8552686062963826,3.8552686062963826,1,1.0883575063929163,-2.5,2.5,0,1,0.6923076923076923,0.3,0.3,0.3,5,5,0,0,0,0.2422,1,0,0,0,0,-11,1,0,2024
2.2181424087086343,2.2181424087086343,4.718142408708634,2.438015029247704,2.438015029247704,4.938015029247704,2.328078718978169,2.328078718978169,1,0.21987262053906953,2.5,2.5,0,1,0.7142857142857143,0.4,0.35,0.375,2,1,1,0,0,0.2424,1,0,0,0,0,15,1,0,2024
-1.9952365484710173,1.9952365484710173,7.504763451528983,-2.9556267248016637,2.9556267248016637,6.544373275198336,-2.4754316366363405,2.4754316366363405,1,0.9603901763306464,9.5,9.5,0,0,0.7333333333333333,0.3,0.3,0.3,1,5,-4,0,0,0.2426,1,0,0,0,0,15,0,1,2024
9.662967978367664,9.662967978367664,-11.837032021632336,8.822041528044188,8.822041528044188,-12.677958471955812,9.242504753205926,9.242504753205926,1,0.8409264503234759,-21.5,21.5,1,0,0.6875,0.35,0.25,0.3,1,5,-4,0,0,0.2428,1,0,0,0,0,-30,0,1,2024
-4.4165947969487895,4.4165947969487895,-11.91659479694879,-9.60863483141706,9.60863483141706,-17.10863483141706,-7.012614814182925,7.012614814182925,1,5.1920400344682704,-7.5,7.5,0,0,0.6470588235294118,0.35,0.3,0.325,0,1,-1,1,0,0.243,1,0,0,0,0,21,0,1,2024
-5.281751150287742,5.281751150287742,1.2182488497122579,-6.909013580577395,6.909013580577395,-0.4090135805773949,-6.0953823654325685,6.0953823654325685,1,1.6272624302896528,6.5,6.5,0,0,0.6111111111111112,0.3,0.4,0.35,5,2,3,0,0,0.2432,1,0,0,0,0,17,0,1,2024
2.0844463451926787,2.0844463451926787,0.5844463451926787,-1.1816480463621435,1.1816480463621435,-2.6816480463621435,0.4513991494152676,0.4513991494152676,0,3.266094391554822,-1.5,1.5,0,1,0.5789473684210527,0.4,0.25,0.325,2,1,1,0,0,0.2434,1,0,0,0,0,-13,0,1,2024
