game_id,season,date,home_team,away_team,actual,vegas,ridge_pred,simple_pred,matchup_pred,ridge_edge,simple_edge,matchup_edge
401468350,2023,2022-11-14T00:30Z,Philadelphia 76ers,Utah Jazz,203,218.0,232.99517730487273,223.42582870150582,223.4258287015058,14.995177304872726,5.4258287015058215,5.425828701505793
401468351,2023,2022-11-14T01:00Z,Chicago Bulls,Denver Nuggets,229,232.0,233.98094429611194,227.54941436370825,227.54941436370825,1.980944296111943,-4.450585636291748,-4.450585636291748
401468352,2023,2022-11-14T02:00Z,Sacramento Kings,Golden State Warriors,237,236.5,233.49850814820905,230.68217138471152,230.68217138471155,-3.001491851790945,-5.817828615288477,-5.817828615288448
401468353,2023,2022-11-14T02:30Z,Los Angeles Lakers,Brooklyn Nets,219,217.5,220.78756362762093,221.16375971757896,221.16375971757896,3.2875636276209264,3.663759717578955,3.663759717578955
401468354,2023,2022-11-15T00:00Z,Detroit Pistons,Toronto Raptors,226,218.5,231.04799077637432,225.0644549918784,225.0644549918784,12.54799077637432,6.564454991878392,6.564454991878392
401468355,2023,2022-11-15T00:00Z,Orlando Magic,Charlotte Hornets,217,225.0,228.3625896142418,222.20088075944915,222.20088075944918,3.362589614241813,-2.7991192405508514,-2.799119240550823
401468356,2023,2022-11-15T00:30Z,Boston Celtics,Oklahoma City Thunder,248,229.0,233.51463469584704,232.5618191988558,232.5618191988558,4.514634695847036,3.561819198855801,3.561819198855801
401468357,2023,2022-11-15T00:30Z,Miami Heat,Phoenix Suns,225,215.5,219.83653396202655,220.87098749888222,220.87098749888224,4.33653396202655,5.370987498882215,5.3709874988822435
401468358,2023,2022-11-15T01:00Z,Houston Rockets,LA Clippers,228,219.5,218.81512043138412,222.20571183861009,222.20571183861009,-0.6848795686158837,2.7057118386100854,2.7057118386100854
401468359,2023,2022-11-15T01:00Z,Milwaukee Bucks,Atlanta Hawks,227,225.5,231.09987061362423,224.49142555563395,224.49142555563395,5.599870613624233,-1.0085744443660474,-1.0085744443660474
401468360,2023,2022-11-15T03:00Z,Golden State Warriors,San Antonio Spurs,227,234.0,228.3036941763023,230.3929211902548,230.3929211902548,-5.696305823697713,-3.6070788097451896,-3.6070788097451896
401468361,2023,2022-11-16T00:30Z,New Orleans Pelicans,Memphis Grizzlies,215,223.5,230.95286261732963,226.30095793499754,226.30095793499754,7.452862617329629,2.800957934997541,2.800957934997541
401468362,2023,2022-11-16T01:30Z,Dallas Mavericks,LA Clippers,204,212.0,222.0283400706108,217.38047530545865,217.38047530545865,10.028340070610795,5.380475305458646,5.380475305458646
401468363,2023,2022-11-16T02:00Z,Utah Jazz,New York Knicks,229,232.0,232.28530715041143,228.71292244732945,228.71292244732945,0.28530715041142685,-3.287077552670553,-3.287077552670553
401468364,2023,2022-11-16T03:00Z,Portland Trail Blazers,San Antonio Spurs,227,226.5,232.09075067217657,222.91365874034693,222.9136587403469,5.5907506721765685,-3.586341259653068,-3.5863412596530964
401468365,2023,2022-11-16T03:00Z,Sacramento Kings,Brooklyn Nets,274,226.0,221.4538254771775,223.2896222918538,223.28962229185376,-4.546174522822497,-2.7103777081462113,-2.7103777081462397
401468366,2023,2022-11-17T00:00Z,Charlotte Hornets,Indiana Pacers,238,236.5,229.48650881993652,226.8237970625052,226.82379706250518,-7.0134911800634825,-9.676202937494793,-9.676202937494821
401468367,2023,2022-11-17T00:00Z,Orlando Magic,Minnesota Timberwolves,234,223.5,234.47500729668175,226.12165554815252,226.12165554815255,10.975007296681753,2.6216555481525177,2.621655548152546
401468368,2023,2022-11-17T00:00Z,Washington Wizards,Oklahoma City Thunder,241,230.0,234.882098122912,225.16528265059765,225.16528265059765,4.882098122911998,-4.834717349402354,-4.834717349402354
401468369,2023,2022-11-17T00:30Z,Atlanta Hawks,Boston Celtics,227,234.5,239.33735527860293,231.3773306542736,231.37733065427363,4.837355278602928,-3.1226693457263934,-3.122669345726365
401468370,2023,2022-11-17T00:30Z,Toronto Raptors,Miami Heat,216,216.0,228.72234764238706,223.49826731825522,223.49826731825524,12.722347642387064,7.498267318255216,7.498267318255245
401468371,2023,2022-11-17T01:00Z,Milwaukee Bucks,Cleveland Cavaliers,211,218.5,227.59772358525535,223.48725536238192,223.48725536238197,9.097723585255352,4.987255362381916,4.987255362381973
401468372,2023,2022-11-17T01:00Z,New Orleans Pelicans,Chicago Bulls,234,226.5,223.77190505956423,225.52260225516144,225.52260225516144,-2.728094940435767,-0.9773977448385551,-0.9773977448385551
401468373,2023,2022-11-17T01:30Z,Dallas Mavericks,Houston Rockets,193,218.5,226.79884573207397,222.3596285403271,222.3596285403271,8.298845732073971,3.859628540327094,3.859628540327094
401468374,2023,2022-11-17T03:00Z,Denver Nuggets,New York Knicks,209,226.0,234.27086970949503,230.56124207305538,230.56124207305538,8.270869709495031,4.561242073055382,4.561242073055382
401468375,2023,2022-11-17T03:00Z,Phoenix Suns,Golden State Warriors,249,227.0,232.64962831144865,225.88940935278018,225.88940935278018,5.649628311448652,-1.1105906472198228,-1.1105906472198228
401468376,2023,2022-11-18T03:00Z,Portland Trail Blazers,Brooklyn Nets,216,220.5,225.26478917092513,219.74616642795456,219.74616642795456,4.764789170925127,-0.753833572045437,-0.753833572045437
401468377,2023,2022-11-18T03:00Z,Sacramento Kings,San Antonio Spurs,242,237.0,235.9838936032299,231.00317006976894,231.00317006976897,-1.0161063967701125,-5.996829930231058,-5.99682993023103
401468378,2023,2022-11-18T03:30Z,LA Clippers,Detroit Pistons,187,218.5,227.06970826265118,220.83514561089805,220.83514561089805,8.569708262651176,2.335145610898053,2.335145610898053
401468379,2023,2022-11-19T00:00Z,Washington Wizards,Miami Heat,213,216.5,225.4261933005771,220.6270365324874,220.6270365324874,8.926193300577097,4.127036532487409,4.127036532487409
401468380,2023,2022-11-19T00:30Z,Cleveland Cavaliers,Charlotte Hornets,254,220.0,227.54005621509336,223.56759498401897,223.56759498401897,7.540056215093358,3.5675949840189674,3.5675949840189674
401468381,2023,2022-11-19T00:30Z,Philadelphia 76ers,Milwaukee Bucks,212,211.5,222.6173165990745,218.25177735386444,218.25177735386447,11.117316599074513,6.751777353864441,6.751777353864469
401468382,2023,2022-11-19T01:00Z,Chicago Bulls,Orlando Magic,215,221.0,227.78089262049198,223.96424149496227,223.96424149496232,6.780892620491983,2.964241494962266,2.964241494962323
401468383,2023,2022-11-19T01:00Z,Houston Rockets,Indiana Pacers,190,236.5,230.7940973600266,229.00121586693916,229.00121586693913,-5.705902639973402,-7.498784133060838,-7.498784133060866
401468384,2023,2022-11-19T01:00Z,Memphis Grizzlies,Oklahoma City Thunder,231,230.0,230.80818200797273,228.7247011332631,228.72470113326307,0.8081820079727322,-1.2752988667369038,-1.2752988667369323
401468385,2023,2022-11-19T01:30Z,Dallas Mavericks,Denver Nuggets,226,216.0,227.32346801449035,221.86584075519994,221.8658407551999,11.323468014490345,5.86584075519994,5.865840755199912
401468386,2023,2022-11-19T01:30Z,New Orleans Pelicans,Boston Celtics,226,227.0,233.87772067993697,230.80967932679243,230.8096793267925,6.877720679936971,3.809679326792434,3.809679326792491
401468387,2023,2022-11-19T02:00Z,Utah Jazz,Phoenix Suns,267,228.5,222.1594347036791,224.89609595918748,224.8960959591875,-6.340565296320904,-3.603904040812523,-3.6039040408124947
401468388,2023,2022-11-19T03:00Z,Golden State Warriors,New York Knicks,212,234.5,233.42149581346135,230.78113634433208,230.78113634433205,-1.0785041865386518,-3.718863655667917,-3.7188636556679455
401468389,2023,2022-11-19T03:30Z,Los Angeles Lakers,Detroit Pistons,249,226.0,223.14281719531897,223.9798889201804,223.97988892018043,-2.857182804681031,-2.0201110798196,-2.0201110798195714
401468390,2023,2022-11-19T23:00Z,Atlanta Hawks,Toronto Raptors,246,226.5,230.63530033632844,225.83181630746026,225.83181630746026,4.1353003363284415,-0.668183692539742,-0.668183692539742
401468391,2023,2022-11-20T00:00Z,Indiana Pacers,Orlando Magic,227,226.0,226.90247935589332,225.70403149901887,225.70403149901892,0.9024793558933197,-0.29596850098113237,-0.2959685009810755
401468392,2023,2022-11-20T00:30Z,Philadelphia 76ers,Minnesota Timberwolves,221,218.0,223.6667876124745,223.0820709212063,223.0820709212063,5.666787612474508,5.082070921206309,5.082070921206309
