game_id,season,week,simple_spread,enhanced_spread,simple_spread_edge,enhanced_spread_edge,simple_spread_edge_abs,enhanced_spread_edge_abs,avg_spread_edge,avg_spread_edge_abs,spread_agreement,spread_model_diff,vegas_spread,vegas_spread_abs,big_favorite,close_game,recent_spread_acc,home_games,away_games,combined_games,home_rest,away_rest,rest_diff,home_post_bye,away_post_bye,bye_advantage,week_normalized,early_season,mid_season,late_season,neutral_site,is_dome,is_primetime,spread_cover,actual_spread
401437776,2022,5,-3.638033632360432,-10.897924904365109,3.361966367639568,-3.8979249043651087,3.361966367639568,3.8979249043651087,-0.26797926836277064,0.26797926836277064,0,7.259891272004676,-7.0,7.0,0,0,0.0,0.4,0.4,0.4,8,8,0,0,0,0,0.29411764705882354,0,1,0,0,0,1,0.0,-1
401437777,2022,6,-2.2791669901279983,-11.367494543560287,-3.2791669901279983,-12.367494543560287,3.2791669901279983,12.367494543560287,-7.823330766844142,7.823330766844142,1,9.08832755343229,1.0,1.0,0,1,0.0,0.5,0.5,0.5,4,4,0,0,0,0,0.35294117647058826,0,1,0,0,0,1,0.0,5
401437798,2022,7,4.650447894843893,-1.9730130628287803,-0.849552105156107,-7.47301306282878,0.849552105156107,7.47301306282878,-4.161282583992444,4.161282583992444,1,6.623460957672673,5.5,5.5,0,0,0.3333333333333333,0.6,0.6,0.6,10,7,3,0,0,0,0.4117647058823529,0,1,0,0,0,0,1.0,-2
401437800,2022,7,-7.2488324130352195,-10.674623424750866,-0.24883241303521952,-3.674623424750866,0.24883241303521952,3.674623424750866,-1.9617279188930432,1.9617279188930432,1,3.4257910117156465,-7.0,7.0,0,0,0.5,0.5,0.5,0.5,13,14,-1,1,1,0,0.4117647058823529,0,1,0,0,1,0,1.0,-18
401437810,2022,8,5.156500553728204,6.3010638784627595,3.156500553728204,4.3010638784627595,3.156500553728204,4.3010638784627595,3.7287822160954818,3.7287822160954818,1,1.1445633247345555,2.0,2.0,0,1,0.4,0.7,0.6,0.65,10,7,3,0,0,0,0.47058823529411764,0,1,0,0,1,0,0.0,-24
401437814,2022,8,-9.489944307303274,-9.48860466707794,-6.489944307303274,-6.48860466707794,6.489944307303274,6.48860466707794,-6.489274487190606,6.489274487190606,1,0.001339640225333838,-3.0,3.0,0,1,0.3333333333333333,0.7,0.7,0.7,7,7,0,0,0,0,0.47058823529411764,0,1,0,0,1,0,0.0,1
401437824,2022,9,-11.390794965889855,-18.579997635305165,-13.390794965889855,-20.579997635305165,13.390794965889855,20.579997635305165,-16.98539630059751,16.98539630059751,1,7.189202669415311,2.0,2.0,0,1,0.42857142857142855,0.8,0.7,0.75,7,7,0,0,0,0,0.5294117647058824,0,1,0,0,0,0,1.0,-7
401437840,2022,10,-2.1633859991346,-5.225961644045347,1.8366140008654002,-1.2259616440453467,1.8366140008654002,1.2259616440453467,0.30532617841002674,0.30532617841002674,0,3.062575644910747,-4.0,4.0,0,0,0.5,0.8,0.9,0.85,7,7,0,0,0,0,0.5882352941176471,0,1,0,0,1,0,1.0,5
401437843,2022,10,-2.7857226224560003,-10.03732615545912,8.214277377544,0.9626738445408805,8.214277377544,0.9626738445408805,4.5884756110424405,4.5884756110424405,1,7.251603533003119,-11.0,11.0,1,0,0.5555555555555556,0.8,0.9,0.85,11,8,3,0,0,0,0.5882352941176471,0,1,0,0,0,1,1.0,11
401437848,2022,11,-0.9215813553712497,1.6759237890990486,-3.9215813553712495,-1.3240762109009514,3.9215813553712495,1.3240762109009514,-2.6228287831361006,2.6228287831361006,1,2.5975051444702983,3.0,3.0,0,1,0.5,0.9,1.0,0.95,7,6,1,0,0,0,0.6470588235294118,0,1,0,0,1,0,0.0,13
