game_id,season,date,games_into_season,season_progress,home_team_id,away_team_id,home_score,away_score,point_spread,total_points,home_win,attendance,home_hist_games_played,home_hist_ppg,home_hist_papg,home_hist_win_pct,home_hist_fg_pct,home_hist_three_pct,home_hist_ft_pct,home_hist_rebounds_pg,home_hist_off_rebounds_pg,home_hist_def_rebounds_pg,home_hist_assists_pg,home_hist_steals_pg,home_hist_blocks_pg,home_hist_turnovers_pg,home_hist_paint_pg,home_hist_fastbreak_pg,home_hist_bench_pg,away_hist_games_played,away_hist_ppg,away_hist_papg,away_hist_win_pct,away_hist_fg_pct,away_hist_three_pct,away_hist_ft_pct,away_hist_rebounds_pg,away_hist_off_rebounds_pg,away_hist_def_rebounds_pg,away_hist_assists_pg,away_hist_steals_pg,away_hist_blocks_pg,away_hist_turnovers_pg,away_hist_paint_pg,away_hist_fastbreak_pg,away_hist_bench_pg,home_recent_ppg,home_recent_papg,home_recent_win_pct,home_recent_games,away_recent_ppg,away_recent_papg,away_recent_win_pct,away_recent_games,home_rest_days,away_rest_days,rest_advantage,home_b2b,away_b2b,odds_opening_spread,odds_latest_spread,odds_line_movement,odds_opening_total,odds_latest_total,ppg_differential,papg_differential,win_pct_differential,fg_pct_differential,three_pct_differential,rebound_differential,assist_differential,turnover_differential,recent_ppg_diff,recent_win_pct_diff,stats_reliability,vegas_reliability,prev_season_weight,prev_season_ppg_diff,prev_season_win_pct_diff,weighted_ppg_diff,weighted_vegas_spread,blended_ppg_diff
401591879,2023,2023-10-10T00:00Z,0,0.0,25,24,122,121,1,243,1,0,0.0,110.0,110.0,0.5,45.0,35.0,75.0,44.0,10.0,34.0,24.0,7.0,5.0,14.0,48.0,12.0,35,0.0,110.0,110.0,0.5,45.0,35.0,75.0,44.0,10.0,34.0,24.0,7.0,5.0,14.0,48.0,12.0,35,110.0,110.0,0.5,0,110.0,110.0,0.5,0,7,7,0,0,0,0.0,0.0,0.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
401591880,2023,2023-10-10T01:00Z,1,0.012195121951219513,13,17,129,126,3,255,1,0,1.0,108.0,125.0,0.0,41.0,39.0,55.0,46.0,10.0,36.0,21.0,10.0,7.0,17.0,46.0,11.0,35,0.0,110.0,110.0,0.5,45.0,35.0,75.0,44.0,10.0,34.0,24.0,7.0,5.0,14.0,48.0,12.0,35,108.0,125.0,0.0,1,110.0,110.0,0.5,0,2,7,-5,0,0,0.0,0.0,0.0,220.0,220.0,-2.0,15.0,-0.5,-4.0,4.0,2.0,-3.0,3.0,-2.0,-0.5,0.09090909090909091,0.9090909090909091,0.9333333333333333,0.0,0.0,-0.18181818181818182,0.0,-0.18181818181818182
401608099,2023,2023-10-10T18:45Z,0,0.0,66329,6,127,123,4,250,1,0,0.0,110.0,110.0,0.5,45.0,35.0,75.0,44.0,10.0,34.0,24.0,7.0,5.0,14.0,48.0,12.0,35,2.0,97.5,107.5,0.0,37.0,30.0,64.0,46.5,11.0,35.5,18.5,9.5,7.0,16.5,37.0,13.5,35,110.0,110.0,0.5,0,97.5,107.5,0.0,2,7,3,4,0,0,0.0,0.0,0.0,220.0,220.0,12.5,2.5,0.5,8.0,5.0,-2.5,5.5,-2.5,12.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
401591882,2023,2023-10-10T23:00Z,0,0.0,27,126121,145,82,63,227,1,0,0.0,110.0,110.0,0.5,45.0,35.0,75.0,44.0,10.0,34.0,24.0,7.0,5.0,14.0,48.0,12.0,35,0.0,110.0,110.0,0.5,45.0,35.0,75.0,44.0,10.0,34.0,24.0,7.0,5.0,14.0,48.0,12.0,35,110.0,110.0,0.5,0,110.0,110.0,0.5,0,7,7,0,0,0,0.0,0.0,0.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
401591883,2023,2023-10-10T23:30Z,0,0.0,1,5,108,107,1,215,1,0,0.0,110.0,110.0,0.5,45.0,35.0,75.0,44.0,10.0,34.0,24.0,7.0,5.0,14.0,48.0,12.0,35,0.0,110.0,110.0,0.5,45.0,35.0,75.0,44.0,10.0,34.0,24.0,7.0,5.0,14.0,48.0,12.0,35,110.0,110.0,0.5,0,110.0,110.0,0.5,0,7,7,0,0,0,0.0,0.0,0.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
401591884,2023,2023-10-10T23:30Z,0,0.0,14,30,113,109,4,222,1,0,0.0,110.0,110.0,0.5,45.0,35.0,75.0,44.0,10.0,34.0,24.0,7.0,5.0,14.0,48.0,12.0,35,0.0,110.0,110.0,0.5,45.0,35.0,75.0,44.0,10.0,34.0,24.0,7.0,5.0,14.0,48.0,12.0,35,110.0,110.0,0.5,0,110.0,110.0,0.5,0,7,7,0,0,0,0.0,0.0,0.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
401591885,2023,2023-10-11T00:00Z,0,0.0,10,11,122,103,19,225,1,0,0.0,110.0,110.0,0.5,45.0,35.0,75.0,44.0,10.0,34.0,24.0,7.0,5.0,14.0,48.0,12.0,35,1.0,122.0,127.0,0.0,40.0,25.0,79.0,56.0,16.0,40.0,30.0,10.0,11.0,17.0,58.0,24.0,35,110.0,110.0,0.5,0,122.0,127.0,0.0,1,7,2,5,0,0,0.0,0.0,0.0,220.0,220.0,-12.0,-17.0,0.5,5.0,10.0,-12.0,-6.0,-3.0,-12.0,0.5,0.0,1.0,1.0,0.0,0.0,-0.0,0.0,0.0
401591886,2023,2023-10-11T00:00Z,1,0.012195121951219513,29,15,108,102,6,210,1,0,1.0,127.0,122.0,1.0,46.0,21.0,90.0,47.0,9.0,38.0,27.0,13.0,11.0,15.0,78.0,12.0,35,1.0,105.0,102.0,1.0,48.0,30.0,81.0,46.0,7.0,39.0,28.0,8.0,8.0,17.0,54.0,17.0,35,127.0,122.0,1.0,1,105.0,102.0,1.0,1,2,2,0,0,0,0.0,0.0,0.0,220.0,220.0,22.0,20.0,0.0,-2.0,-9.0,1.0,-1.0,-2.0,22.0,0.0,0.09090909090909091,0.9090909090909091,0.9333333333333333,0.0,0.0,2.0,0.0,2.0
401591887,2023,2023-10-11T00:00Z,0,0.0,3,19,105,122,-17,227,0,0,0.0,110.0,110.0,0.5,45.0,35.0,75.0,44.0,10.0,34.0,24.0,7.0,5.0,14.0,48.0,12.0,35,0.0,110.0,110.0,0.5,45.0,35.0,75.0,44.0,10.0,34.0,24.0,7.0,5.0,14.0,48.0,12.0,35,110.0,110.0,0.5,0,110.0,110.0,0.5,0,7,7,0,0,0,0.0,0.0,0.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
401591888,2023,2023-10-11T02:00Z,1,0.012195121951219513,12,26,103,98,5,201,1,0,1.0,96.0,101.0,0.0,39.0,27.0,89.0,42.0,13.0,29.0,18.0,11.0,8.0,12.0,52.0,16.0,35,1.0,101.0,96.0,1.0,45.0,30.0,67.0,51.0,16.0,35.0,22.0,3.0,9.0,20.0,50.0,14.0,35,96.0,101.0,0.0,1,101.0,96.0,1.0,1,2,2,0,0,0,0.0,0.0,0.0,220.0,220.0,-5.0,5.0,-1.0,-6.0,-3.0,-9.0,-4.0,-8.0,-5.0,-1.0,0.09090909090909091,0.9090909090909091,0.9333333333333333,0.0,0.0,-0.4545454545454546,0.0,-0.4545454545454546
