Unnamed: 0,Spread,Total,Moneyline,Unnamed: 4,Unnamed: 5,Unnamed: 6
201 Minnesota,1-7-1 ATS 66%,4-5 O/U 36%,6-4 SU 13%,Create Free Account,Create Free Account,Create Free Account
202 Northwestern,5-3-1 ATS 34%,4-5 O/U 64%,5-5 SU 87%,Create Free Account,Create Free Account,Create Free Account
Open,NW -4,o41.5,-166,,,
Consensus,NW -4.5,o40.5,-198,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
Samford,,,,Create Free Account,Create Free Account,Create Free Account
Texas A&M,5-5 ATS,8-2 O/U,10-0 SU,Create Free Account,Create Free Account,Create Free Account
Open,,,,,,
Consensus,,,,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
157 Charlotte,2-7 ATS 68%,5-4 O/U 8%,1-9 SU,Create Free Account,Create Free Account,Create Free Account
158 Georgia,5-4 ATS 32%,5-4 O/U 92%,9-1 SU,Create Free Account,Create Free Account,Create Free Account
Open,UGA -44.5,o54.5,,,,
Consensus,UGA -44.5,o54.5,,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
131 Old Dominion,5-4 ATS 55%,4-5 O/U 2%,7-3 SU 93%,Create Free Account,Create Free Account,Create Free Account
132 Georgia Southern,4-4-1 ATS 45%,6-3 O/U 98%,5-5 SU 7%,Create Free Account,Create Free Account,Create Free Account
Open,ODU -10,o62.5,-380,,,
Consensus,ODU -12.5,o62.5,-455,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
139 Washington State,6-3 ATS 7%,3-6 O/U 27%,5-5 SU 3%,Create Free Account,Create Free Account,Create Free Account
140 James Madison,6-3 ATS 93%,4-5 O/U 73%,9-1 SU 97%,Create Free Account,Create Free Account,Create Free Account
Open,JMU -13.5,o45.5,-550,,,
Consensus,JMU -13.5,o42.5,-550,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
169 Baylor,2-7 ATS 39%,6-3 O/U 3%,5-5 SU 8%,Create Free Account,Create Free Account,Create Free Account
170 Arizona,5-4 ATS 61%,4-5 O/U 97%,7-3 SU 92%,Create Free Account,Create Free Account,Create Free Account
Open,ARI -6.5,o63.5,-205,,,
Consensus,ARI -6.5,o62.5,-238,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
147 Ball State,5-4 ATS 61%,2-7 O/U 12%,4-6 SU,Create Free Account,Create Free Account,Create Free Account
148 Toledo,6-3 ATS 39%,4-5 O/U 88%,6-4 SU,Create Free Account,Create Free Account,Create Free Account
Open,TOL -22.5,o47.5,-4500,,,
Consensus,TOL -27.5,o47.5,-4500,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
167 Nevada,4-4-1 ATS 59%,4-5 O/U,2-8 SU 14%,Create Free Account,Create Free Account,Create Free Account
168 Wyoming,4-5 ATS 41%,2-7 O/U,4-6 SU 86%,Create Free Account,Create Free Account,Create Free Account
Open,WYO -10,o41.5,-325,,,
Consensus,WYO -6.5,o41.5,-250,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
189 Missouri State,6-3 ATS 21%,2-7 O/U 6%,7-3 SU 12%,Create Free Account,Create Free Account,Create Free Account
190 Kennesaw State,6-3 ATS 79%,4-5 O/U 94%,7-3 SU 88%,Create Free Account,Create Free Account,Create Free Account
Open,KENN -4,o58.5,-218,,,
Consensus,KENN -6.5,o57.5,-238,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
Eastern Illinois,,,,Create Free Account,Create Free Account,Create Free Account
Alabama,6-3-1 ATS,4-6 O/U,8-2 SU,Create Free Account,Create Free Account,Create Free Account
Open,,,,,,
Consensus,,,,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
Mercer,,,,Create Free Account,Create Free Account,Create Free Account
