team_id,off_points_per_drive,off_total_points,off_yards_per_drive,off_yards_std,off_plays_per_drive,off_plays_std,off_seconds_per_drive,off_seconds_std,off_scoring_pct,off_scoring_drives,off_total_drives,off_redzone_scoring_pct,off_redzone_attempts,off_three_and_outs,off_three_and_out_pct,off_explosive_drives,off_explosive_pct,off_home_ppd,off_away_ppd,off_dome_ppd,off_outdoor_ppd,def_points_per_drive,def_yards_per_drive,def_plays_per_drive,def_scoring_pct,def_total_drives,def_three_and_out_forced,def_redzone_stops,ppd_differential,ypd_differential,scoring_pct_differential
1,2.0165289256198347,244,29.644628099173552,27.778546729485395,5.694214876033058,3.6282295388766213,159.900826446281,122.8794398966373,0.36363636363636365,44,121,0.0,0.0,38,0.3140495867768595,65,0.5371900826446281,2.2,1.8636363636363635,2.217948717948718,1.6511627906976745,2.2123893805309733,31.07079646017699,6.3097345132743365,0.40707964601769914,113,0.25663716814159293,0,-0.19586045491113868,-1.4261683610034375,-0.04344328238133549
2,2.7457627118644066,324,35.82203389830509,30.896472112367363,5.9576271186440675,3.2878800168300333,181.0593220338983,114.5471419672694,0.4576271186440678,54,118,0.0,0.0,34,0.288135593220339,69,0.5847457627118644,3.253968253968254,2.1636363636363636,1.4782608695652173,3.0526315789473686,2.2100840336134455,29.672268907563026,5.512605042016807,0.3949579831932773,119,0.33613445378151263,0,0.535678678250961,6.14976499074206,0.0626691354507905
3,2.456,307,30.52,27.761542208718367,5.92,3.3543423950494096,165.144,112.85558170768799,0.448,56,125,0.0,0.0,36,0.288,70,0.56,2.3559322033898304,2.5454545454545454,1.9166666666666667,2.6741573033707864,2.5,33.278688524590166,5.540983606557377,0.4098360655737705,122,0.3114754098360656,0,-0.04400000000000004,-2.7586885245901662,0.03816393442622951
4,2.406779661016949,284,29.389830508474578,27.53522496087949,5.669491525423729,3.4419609913157845,151.5593220338983,107.38337282145122,0.423728813559322,50,118,0.0,0.0,37,0.3135593220338983,63,0.5338983050847458,2.878787878787879,1.8076923076923077,1.8461538461538463,2.4761904761904763,2.9217391304347826,38.88695652173913,6.504347826086956,0.5043478260869565,115,0.2608695652173913,0,-0.5149594694178337,-9.497126013264552,-0.08061901252763448
5,1.5813953488372092,204,21.410852713178294,24.183417744364625,5.449612403100775,3.4976805714423036,150.67441860465115,107.70243750075788,0.29457364341085274,38,129,0.0,0.0,46,0.35658914728682173,54,0.4186046511627907,1.509090909090909,1.635135135135135,1.5172413793103448,1.6,1.9296875,23.1015625,5.203125,0.3515625,128,0.375,0,-0.3482921511627908,-1.6907097868217065,-0.05698885658914726
6,2.6324786324786325,308,37.282051282051285,29.967466886909826,6.273504273504273,3.362121486512316,173.05128205128204,112.8675487213958,0.4700854700854701,55,117,0.0,0.0,27,0.23076923076923078,72,0.6153846153846154,2.719298245614035,2.55,2.7761194029850746,2.44,2.773109243697479,34.588235294117645,6.0588235294117645,0.48739495798319327,119,0.2689075630252101,0,-0.14063061121884646,2.6938159879336396,-0.017309487897723186
7,2.0387596899224807,263,27.527131782945737,27.843052746426892,5.51937984496124,3.2357880975742375,152.93023255813952,101.93902788910995,0.3643410852713178,47,129,0.0,0.0,50,0.3875968992248062,61,0.4728682170542636,2.2083333333333335,1.8245614035087718,2.088235294117647,2.0210526315789474,1.5384615384615385,24.06923076923077,5.484615384615385,0.3230769230769231,130,0.3769230769230769,0,0.5002981514609421,3.4579010137149666,0.041264162194394716
8,2.682926829268293,330,33.170731707317074,30.767693115086654,5.67479674796748,3.184223236879667,165.4308943089431,115.35455545381707,0.43902439024390244,54,123,0.0,0.0,30,0.24390243902439024,69,0.5609756097560976,2.7868852459016393,2.5806451612903225,2.7868852459016393,2.5806451612903225,2.031496062992126,27.606299212598426,5.417322834645669,0.36220472440944884,127,0.3543307086614173,0,0.6514307662761669,5.564432494718648,0.0768196658344536
9,2.5871559633027523,282,34.65137614678899,28.44760490692559,6.376146788990826,3.3960461510019213,185.26605504587155,124.7549184216973,0.44036697247706424,48,109,0.0,0.0,30,0.27522935779816515,67,0.6146788990825688,2.293103448275862,2.9215686274509802,3.238095238095238,2.4318181818181817,2.048076923076923,29.08653846153846,6.653846153846154,0.375,104,0.2980769230769231,0,0.5390790402258294,5.564837685250531,0.06536697247706424
10,1.5304347826086957,176,22.62608695652174,25.871633476924142,5.8,3.479766074009079,164.4695652173913,110.30454824640908,0.30434782608695654,35,115,0.0,0.0,39,0.3391304347826087,53,0.4608695652173913,1.894736842105263,1.1724137931034482,1.2727272727272727,1.6901408450704225,2.694915254237288,32.644067796610166,5.822033898305085,0.4745762711864407,118,0.288135593220339,0,-1.1644804716285924,-10.017980840088427,-0.17022844509948415
11,3.1363636363636362,345,38.59090909090909,30.762569730334267,6.3,3.6911746967871664,180.65454545454546,127.10339909584675,0.5545454545454546,61,110,0.0,0.0,28,0.2545454545454545,68,0.6181818181818182,3.6206896551724137,2.5961538461538463,3.4477611940298507,2.6511627906976742,2.2142857142857144,34.205357142857146,6.651785714285714,0.38392857142857145,112,0.25892857142857145,0,0.9220779220779218,4.385551948051948,0.1706168831168831
12,2.8190476190476192,296,39.53333333333333,31.028853404367744,7.190476190476191,3.8207309965483507,204.8095238095238,135.7344760381384,0.5047619047619047,53,105,0.0,0.0,24,0.22857142857142856,67,0.638095238095238,3.017543859649123,2.5833333333333335,0.0,2.8190476190476192,1.9223300970873787,30.106796116504853,5.970873786407767,0.3592233009708738,103,0.30097087378640774,0,0.8967175219602406,9.426537216828478,0.14553860379103095
13,1.5365853658536586,189,23.634146341463413,26.837784806549717,5.40650406504065,3.4731697583137664,157.52032520325204,126.23691943881381,0.2845528455284553,35,123,0.0,0.0,41,0.3333333333333333,54,0.43902439024390244,1.7313432835820894,1.3035714285714286,1.644736842105263,1.3617021276595744,2.3728813559322033,28.915254237288135,5.9491525423728815,0.4152542372881356,118,0.3474576271186441,0,-0.8362959900785447,-5.2811078958247215,-0.13070139175968032
14,2.791304347826087,321,34.89565217391304,29.068091239347112,6.034782608695652,3.3611047546342117,170.4,111.5994403557621,0.4434782608695652,51,115,0.0,0.0,28,0.24347826086956523,74,0.6434782608695652,2.5245901639344264,3.0925925925925926,2.5245901639344264,3.0925925925925926,1.6434782608695653,28.791304347826088,6.426086956521739,0.3217391304347826,115,0.3565217391304348,0,1.1478260869565216,6.104347826086954,0.12173913043478263
15,2.1682242990654204,232,30.27102803738318,28.24674637916092,5.906542056074766,3.4682732103878213,176.05607476635515,118.8275928644379,0.3925233644859813,42,107,0.0,0.0,34,0.3177570093457944,60,0.5607476635514018,2.2542372881355934,2.0625,2.411764705882353,2.1222222222222222,2.5596330275229358,34.981651376146786,6.220183486238532,0.45871559633027525,109,0.28440366972477066,0,-0.3914087284575154,-4.710623338763607,-0.06619223184429396
16,1.8852459016393444,230,25.21311475409836,26.67472555822378,5.254098360655738,3.0166520641591466,148.3360655737705,96.67775652072177,0.36065573770491804,44,122,0.0,0.0,45,0.36885245901639346,63,0.5163934426229508,1.8928571428571428,1.878787878787879,1.8717948717948718,1.9090909090909092,2.2,27.32,5.712,0.4,125,0.352,0,-0.3147540983606558,-2.1068852459016405,-0.03934426229508198
