game_id,season,date,games_into_season,season_progress,home_team_id,away_team_id,home_score,away_score,point_spread,total_points,home_win,attendance,home_hist_games_played,home_hist_ppg,home_hist_papg,home_hist_win_pct,home_hist_fg_pct,home_hist_three_pct,home_hist_ft_pct,home_hist_rebounds_pg,home_hist_off_rebounds_pg,home_hist_def_rebounds_pg,home_hist_assists_pg,home_hist_steals_pg,home_hist_blocks_pg,home_hist_turnovers_pg,home_hist_paint_pg,home_hist_fastbreak_pg,home_hist_bench_pg,home_hist_home_games,home_hist_home_ppg,home_hist_home_papg,home_hist_home_win_pct,home_hist_away_games,home_hist_away_ppg,home_hist_away_papg,home_hist_away_win_pct,home_hist_home_away_ppg_diff,away_hist_games_played,away_hist_ppg,away_hist_papg,away_hist_win_pct,away_hist_fg_pct,away_hist_three_pct,away_hist_ft_pct,away_hist_rebounds_pg,away_hist_off_rebounds_pg,away_hist_def_rebounds_pg,away_hist_assists_pg,away_hist_steals_pg,away_hist_blocks_pg,away_hist_turnovers_pg,away_hist_paint_pg,away_hist_fastbreak_pg,away_hist_bench_pg,away_hist_home_games,away_hist_home_ppg,away_hist_home_papg,away_hist_home_win_pct,away_hist_away_games,away_hist_away_ppg,away_hist_away_papg,away_hist_away_win_pct,away_hist_home_away_ppg_diff,home_recent_ppg,home_recent_papg,home_recent_win_pct,home_recent_games,away_recent_ppg,away_recent_papg,away_recent_win_pct,away_recent_games,home_rest_days,away_rest_days,rest_advantage,home_b2b,away_b2b,odds_opening_spread,odds_latest_spread,odds_line_movement,odds_opening_total,odds_latest_total,ppg_differential,papg_differential,win_pct_differential,fg_pct_differential,three_pct_differential,rebound_differential,assist_differential,turnover_differential,recent_ppg_diff,recent_win_pct_diff,venue_ppg_differential,venue_win_pct_differential,combined_home_advantage,stats_reliability,vegas_reliability,prev_season_weight,prev_season_ppg_diff,prev_season_win_pct_diff,weighted_ppg_diff,weighted_vegas_spread,blended_ppg_diff
401716947,2024,2024-10-04T16:00Z,0,0.0,7,2,103,107,-4,210,0,0,99.0,113.18181818181819,108.94949494949495,0.6767676767676768,49.111111111111114,36.686868686868685,76.8989898989899,43.98989898989899,10.565656565656566,33.42424242424242,28.848484848484848,7.181818181818182,5.424242424242424,11.919191919191919,52.54545454545455,14.02020202020202,35,49.0,115.89795918367346,107.65306122448979,0.7755102040816326,50.0,110.52,110.22,0.58,5.377959183673468,106.0,118.27358490566037,107.55660377358491,0.7924528301886793,48.31132075471698,38.06603773584906,79.9245283018868,45.886792452830186,10.622641509433961,35.264150943396224,26.235849056603772,6.849056603773585,6.254716981132075,11.283018867924529,46.132075471698116,14.622641509433961,35,54.0,120.79629629629629,106.55555555555556,0.8888888888888888,52.0,115.65384615384616,108.59615384615384,0.6923076923076923,5.14245014245013,101.1,104.9,0.5,10,109.9,104.5,0.9,10,7,7,0,0,0,0.0,0.0,0.0,220.0,220.0,-5.091766723842184,1.3928911759100373,-0.1156851534210025,0.7997903563941335,-1.3791690489803727,-1.896893462931196,2.6126357918810754,0.6361730512673898,-8.800000000000011,-0.4,0.24411302982730376,0.08320251177394034,5.260204663061799,0.908256880733945,0.09174311926605505,0.0,0.0,0.0,-4.6246321620218005,0.0,-4.6246321620218005
401716948,2024,2024-10-05T01:00Z,0,0.0,26,111836,116,87,29,203,1,0,87.0,115.49425287356321,119.85057471264368,0.39080459770114945,46.839080459770116,35.206896551724135,82.57471264367815,45.55172413793103,12.160919540229886,33.39080459770115,27.17241379310345,6.655172413793103,5.609195402298851,15.126436781609195,53.310344827586206,14.114942528735632,35,43.0,119.83720930232558,117.6046511627907,0.5348837209302325,44.0,111.25,122.04545454545455,0.25,8.587209302325576,2.0,80.0,110.0,0.0,35.5,21.0,78.5,35.0,7.0,28.0,15.0,11.0,6.5,20.0,35.0,13.0,35,0.0,80.0,110.0,0.0,2.0,80.0,110.0,0.0,0.0,108.7,118.8,0.2,10,80.0,110.0,0.0,2,7,7,0,0,0,0.0,0.0,0.0,220.0,220.0,35.49425287356321,9.850574712643677,0.39080459770114945,11.339080459770116,14.206896551724135,10.551724137931032,12.172413793103448,-4.873563218390805,28.700000000000003,0.2,39.837209302325576,0.5348837209302325,4.293604651162788,0.8969072164948454,0.10309278350515463,0.0,0.0,0.0,31.83505154639175,0.0,31.83505154639175
401716949,2024,2024-10-05T02:30Z,0,0.0,13,16,107,124,-17,231,0,0,95.0,116.96842105263158,116.84210526315789,0.5473684210526316,49.56842105263158,36.747368421052634,76.98947368421052,43.14736842105263,8.2,34.94736842105263,27.936842105263157,7.4526315789473685,5.6421052631578945,13.51578947368421,54.94736842105263,16.768421052631577,35,50.0,118.12,114.58,0.64,45.0,115.68888888888888,119.35555555555555,0.4444444444444444,2.4311111111111217,103.0,112.3495145631068,105.93203883495146,0.6796116504854369,48.349514563106794,38.33009708737864,77.22330097087378,43.54368932038835,9.640776699029127,33.90291262135922,26.436893203883496,7.766990291262136,5.815533980582524,13.223300970873787,50.05825242718446,12.300970873786408,35,51.0,111.62745098039215,103.80392156862744,0.6862745098039216,52.0,113.0576923076923,108.01923076923077,0.6730769230769231,-1.430241327300152,112.6,113.8,0.4,10,103.5,106.1,0.3,10,7,7,0,0,0,0.0,0.0,0.0,220.0,220.0,4.6189064895247895,10.910066428206434,-0.1322432294328053,1.2189064895247839,-1.5827286663260054,-0.3963208993357199,1.4999489013796605,0.29248850281042316,9.099999999999994,0.10000000000000003,5.062307692307698,-0.033076923076923115,0.5004348919054848,0.9047619047619048,0.09523809523809523,0.0,0.0,0.0,4.179010633379572,0.0,4.179010633379572
401716950,2024,2024-10-05T23:00Z,0,0.0,12,9,90,91,-1,181,0,0,92.0,114.0,111.51086956521739,0.5978260869565217,48.31521739130435,37.69565217391305,82.48913043478261,43.07608695652174,10.206521739130435,32.869565217391305,25.043478260869566,7.782608695652174,4.989130434782608,12.33695652173913,49.80434782608695,14.91304347826087,35,48.0,113.08333333333333,110.97916666666667,0.5833333333333334,44.0,115.0,112.0909090909091,0.6136363636363636,-1.9166666666666714,88.0,117.7159090909091,115.29545454545455,0.5681818181818182,47.71590909090909,37.84090909090909,77.52272727272727,46.90909090909091,12.056818181818182,34.85227272727273,29.102272727272727,7.079545454545454,4.590909090909091,14.011363636363637,48.27272727272727,12.261363636363637,35,44.0,117.61363636363636,116.68181818181819,0.5227272727272727,44.0,117.81818181818181,113.9090909090909,0.6136363636363636,-0.20454545454545325,102.9,108.4,0.3,10,113.8,110.1,0.7,10,7,7,0,0,0,0.0,0.0,0.0,220.0,220.0,-3.7159090909090935,-3.784584980237156,0.029644268774703497,0.5993083003952577,-0.14525691699604693,-3.8330039525691646,-4.05879446640316,-1.6744071146245059,-10.899999999999991,-0.39999999999999997,-4.734848484848484,-0.030303030303030276,-1.0606060606060623,0.9019607843137255,0.09803921568627451,0.0,0.0,0.0,-3.3516042780748685,0.0,-3.3516042780748685
401716951,2024,2024-10-06T14:00Z,1,0.012195121951219513,2,7,130,104,26,234,1,0,1.0,107.0,103.0,1.0,38.0,33.0,76.0,44.0,17.0,27.0,29.0,13.0,8.0,17.0,30.0,12.0,35,0.0,107.0,103.0,1.0,1.0,107.0,103.0,1.0,0.0,1.0,103.0,107.0,0.0,43.0,38.0,65.0,49.0,12.0,37.0,29.0,10.0,2.0,23.0,50.0,11.0,35,1.0,103.0,107.0,0.0,0.0,103.0,107.0,0.0,0.0,109.3,105.0,0.9,10,100.2,105.1,0.4,10,1,1,0,0,0,0.0,0.0,0.0,220.0,220.0,4.0,-4.0,1.0,-5.0,-5.0,-5.0,0.0,-6.0,9.099999999999994,0.5,4.0,1.0,0.0,0.09090909090909091,0.9090909090909091,0.9333333333333333,4.752315608919372,0.10797280985960234,0.36363636363636365,0.0,5.115951972555735
401716952,2024,2024-10-06T21:00Z,0,0.0,30,18,109,111,-2,220,0,0,86.0,106.47674418604652,116.66279069767442,0.2558139534883721,45.95348837209303,34.7093023255814,78.51162790697674,40.848837209302324,9.453488372093023,31.3953488372093,24.686046511627907,6.965116279069767,4.604651162790698,13.255813953488373,48.116279069767444,12.732558139534884,35,43.0,108.09302325581395,116.37209302325581,0.27906976744186046,43.0,104.86046511627907,116.95348837209302,0.23255813953488372,3.2325581395348735,99.0,112.32323232323232,109.20202020202021,0.5858585858585859,46.44444444444444,37.01010101010101,77.57575757575758,44.73737373737374,12.727272727272727,32.01010101010101,24.060606060606062,7.292929292929293,4.232323232323233,12.070707070707071,48.22222222222222,14.656565656565656,35,51.0,111.62745098039215,106.88235294117646,0.6470588235294118,48.0,113.0625,111.66666666666667,0.5208333333333334,-1.4350490196078454,108.4,117.3,0.3,10,110.0,112.6,0.5,10,7,7,0,0,0,0.0,0.0,0.0,220.0,220.0,-5.846488137185801,7.4607704956542165,-0.33004463237021375,-0.49095607235141614,-2.300798684519613,-3.8885365280714126,0.625440451021845,1.1851068827813016,-1.5999999999999943,-0.2,-4.9694767441860535,-0.2417635658914729,0.898754559963514,0.8958333333333334,0.10416666666666667,0.0,0.0,0.0,-5.237478956228947,0.0,-5.237478956228947
401716953,2024,2024-10-06T23:30Z,0,0.0,28,27,125,98,27,223,1,0,86.0,112.77906976744185,117.82558139534883,0.3372093023255814,47.27906976744186,34.54651162790697,75.76744186046511,43.093023255813954,10.965116279069768,32.127906976744185,28.558139534883722,7.883720930232558,4.848837209302325,13.732558139534884,54.16279069767442,19.011627906976745,35,44.0,111.47727272727273,115.0909090909091,0.38636363636363635,42.0,114.14285714285714,120.69047619047619,0.2857142857142857,-2.665584415584405,86.0,113.94186046511628,122.12790697674419,0.20930232558139536,47.0,34.68604651162791,76.81395348837209,41.31395348837209,9.19767441860465,32.116279069767444,27.825581395348838,7.837209302325581,5.151162790697675,13.534883720930232,54.48837209302326,17.53488372093023,35,43.0,113.23255813953489,120.27906976744185,0.20930232558139536,43.0,114.65116279069767,123.97674418604652,0.20930232558139536,-1.4186046511627808,109.5,126.3,0.2,10,114.4,120.4,0.1,10,7,7,0,0,0,0.0,0.0,0.0,220.0,220.0,-1.1627906976744242,-4.302325581395351,0.12790697674418602,0.27906976744186096,-0.13953488372093403,1.779069767441861,0.7325581395348841,0.1976744186046524,-4.900000000000006,0.1,-3.1738900634249347,0.177061310782241,-2.042094533373593,0.8958333333333334,0.10416666666666667,0.0,0.0,0.0,-1.0416666666666718,0.0,-1.0416666666666718
401716954,2024,2024-10-07T00:00Z,0,0.0,8,15,120,87,33,207,1,0,86.0,110.30232558139535,119.09302325581395,0.18604651162790697,46.44186046511628,34.95348837209303,78.12790697674419,43.69767441860465,10.546511627906977,33.151162790697676,25.593023255813954,6.488372093023256,4.744186046511628,14.779069767441861,49.81395348837209,14.19767441860465,35,41.0,110.70731707317073,118.63414634146342,0.17073170731707318,45.0,109.93333333333334,119.5111111111111,0.2,0.7739837398373908,93.0,117.81720430107526,115.76344086021506,0.5806451612903226,48.333333333333336,36.8494623655914,77.11827956989248,44.344086021505376,9.526881720430108,34.81720430107527,26.225806451612904,6.849462365591398,4.967741935483871,12.419354838709678,46.73118279569893,12.182795698924732,35,47.0,120.2127659574468,113.87234042553192,0.7446808510638298,46.0,115.3695652173913,117.69565217391305,0.41304347826086957,4.843200740055508,101.0,110.4,0.2,10,107.7,110.6,0.4,10,7,7,0,0,0,0.0,0.0,0.0,220.0,220.0,-7.514878719679913,3.329582395598891,-0.39459864966241565,-1.8914728682170576,-1.895973993498373,-0.6464116029007272,-0.6327831957989503,2.359714928732183,-6.700000000000003,-0.2,-4.66224814422057,-0.24231177094379638,2.8085922399464494,0.8958333333333334,0.10416666666666667,0.0,0.0,0.0,-6.732078853046589,0.0,-6.732078853046589
401716955,2024,2024-10-07T01:30Z,1,0.012195121951219513,13,21,114,118,-4,232,0,0,1.0,107.0,124.0,0.0,48.0,31.0,91.0,38.0,4.0,34.0,28.0,9.0,12.0,20.0,48.0,21.0,35,1.0,107.0,124.0,0.0,0.0,107.0,124.0,0.0,0.0,91.0,115.86813186813187,113.31868131868131,0.5824175824175825,49.16483516483517,37.956043956043956,80.81318681318682,43.65934065934066,10.087912087912088,33.57142857142857,26.725274725274726,7.604395604395604,5.868131868131868,14.296703296703297,46.7032967032967,13.219780219780219,35,45.0,115.5111111111111,113.22222222222223,0.5777777777777777,46.0,116.21739130434783,113.41304347826087,0.5869565217391305,-0.7062801932367222,111.6,113.5,0.4,10,106.4,109.9,0.4,10,1,7,-6,0,0,0.0,0.0,0.0,220.0,220.0,-8.868131868131869,10.681318681318686,-0.5824175824175825,-1.1648351648351678,-6.956043956043956,-5.659340659340657,1.2747252747252737,5.703296703296703,5.199999999999989,0.0,-9.217391304347828,-0.5869565217391305,-0.3531400966183611,0.09090909090909091,0.9090909090909091,0.9333333333333333,1.026936572199734,-0.032712550607287456,-0.8061938061938062,0.0,0.2207427660059279
401716956,2024,2024-10-07T17:30Z,0,0.0,3,19,106,104,2,210,1,0,92.0,113.1086956521739,110.29347826086956,0.5543478260869565,48.108695652173914,36.891304347826086,77.05434782608695,44.08695652173913,10.543478260869565,33.54347826086956,26.58695652173913,8.434782608695652,4.641304347826087,13.021739130434783,50.608695652173914,14.880434782608695,35,46.0,112.43478260869566,111.08695652173913,0.4782608695652174,46.0,113.78260869565217,109.5,0.6304347826086957,-1.3478260869565162,93.0,109.58064516129032,107.02150537634408,0.5698924731182796,47.236559139784944,34.81720430107527,75.94623655913979,42.516129032258064,10.559139784946236,31.956989247311828,24.35483870967742,8.32258064516129,5.258064516129032,13.827956989247312,50.365591397849464,12.634408602150538,35,46.0,112.02173913043478,103.34782608695652,0.717391304347826,47.0,107.19148936170212,110.61702127659575,0.425531914893617,4.830249768732656,103.6,108.5,0.4,10,102.7,100.1,0.4,10,7,7,0,0,0,0.0,0.0,0.0,220.0,220.0,3.5280504908835866,3.271972884525482,-0.015544647031323078,0.8721365123889697,2.0741000467508144,1.5708274894810685,2.232117812061709,-0.8062178588125288,0.8999999999999915,0.0,5.243293246993531,0.05272895467160038,1.7412118408880701,0.9019607843137255,0.09803921568627451,0.0,0.0,0.0,3.182163187855784,0.0,3.182163187855784
