game_id,season,week,neutral_site,home_games_played,home_wins,home_losses,home_points_scored_total,home_points_allowed_total,home_points_scored_avg,home_points_allowed_avg,home_point_differential_avg,home_win_pct,home_total_yards_avg,home_passing_yards_avg,home_rushing_yards_avg,home_turnovers_avg,home_first_downs_avg,home_third_down_pct,home_penalties_avg,home_penalty_yards_avg,away_games_played,away_wins,away_losses,away_points_scored_total,away_points_allowed_total,away_points_scored_avg,away_points_allowed_avg,away_point_differential_avg,away_win_pct,away_total_yards_avg,away_passing_yards_avg,away_rushing_yards_avg,away_turnovers_avg,away_first_downs_avg,away_third_down_pct,away_penalties_avg,away_penalty_yards_avg,win_pct_diff,points_scored_diff,points_allowed_diff,point_differential_diff,yards_diff,passing_yards_diff,rushing_yards_diff,turnovers_diff,h2h_games,h2h_win_pct,home_recent_win_pct,away_recent_win_pct,recent_form_diff,home_score,away_score,home_win,point_differential,spread,total,covered_spread
401752831,2024,3,0,2,1,1,45,30,22.5,15.0,7.5,0.5,0,0,0,0,0,0,0,0,2,2,0,128,16,64.0,8.0,56.0,1.0,0,0,0,0,0,0,0,0,-0.5,-41.5,7.0,-48.5,0,0,0,0,0,0.5,0,0,0,14,34,0,-20,,,
401752832,2024,3,0,2,2,0,65,17,32.5,8.5,24.0,1.0,0,0,0,0,0,0,0,0,2,2,0,132,33,66.0,16.5,49.5,1.0,0,0,0,0,0,0,0,0,0.0,-33.5,-8.0,-25.5,0,0,0,0,0,0.5,0,0,0,17,33,0,-16,,,
401752833,2024,3,0,2,2,0,79,48,39.5,24.0,15.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,39.5,24.0,15.5,0,0,0,0,0,0.5,0,0,0,60,10,1,50,,,
401752834,2024,3,0,2,2,0,65,46,32.5,23.0,9.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,32.5,23.0,9.5,0,0,0,0,0,0.5,0,0,0,41,24,1,17,,,
401752835,2024,3,0,2,2,0,80,11,40.0,5.5,34.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,40.0,5.5,34.5,0,0,0,0,0,0.5,0,0,0,52,6,1,46,,,
401752836,2024,3,0,2,2,0,83,23,41.5,11.5,30.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,41.5,11.5,30.0,0,0,0,0,0,0.5,0,0,0,73,0,1,73,,,
401752837,2024,3,0,2,0,2,33,73,16.5,36.5,-20.0,0.0,0,0,0,0,0,0,0,0,2,1,1,49,56,24.5,28.0,-3.5,0.5,0,0,0,0,0,0,0,0,-0.5,-8.0,8.5,-16.5,0,0,0,0,0,0.5,0,0,0,10,35,0,-25,,,
401752838,2024,3,0,2,2,0,59,16,29.5,8.0,21.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,29.5,8.0,21.5,0,0,0,0,0,0.5,0,0,0,44,17,1,27,,,
401752839,2024,3,0,2,1,1,47,41,23.5,20.5,3.0,0.5,0,0,0,0,0,0,0,0,2,1,1,33,59,16.5,29.5,-13.0,0.5,0,0,0,0,0,0,0,0,0.0,7.0,-9.0,16.0,0,0,0,0,0,0.5,0,0,0,63,3,1,60,,,
401752840,2024,3,0,2,2,0,69,18,34.5,9.0,25.5,1.0,0,0,0,0,0,0,0,0,2,2,0,89,10,44.5,5.0,39.5,1.0,0,0,0,0,0,0,0,0,0.0,-10.0,4.0,-14.0,0,0,0,0,0,0.5,0,0,0,27,14,1,13,,,
401752938,2024,3,0,2,2,0,129,21,64.5,10.5,54.0,1.0,0,0,0,0,0,0,0,0,2,0,2,42,70,21.0,35.0,-14.0,0.0,0,0,0,0,0,0,0,0,1.0,43.5,-24.5,68.0,0,0,0,0,0,0.5,0,0,0,45,14,1,31,,,
401752949,2024,3,0,2,2,0,84,30,42.0,15.0,27.0,1.0,0,0,0,0,0,0,0,0,2,2,0,49,23,24.5,11.5,13.0,1.0,0,0,0,0,0,0,0,0,0.0,17.5,3.5,14.0,0,0,0,0,0,0.5,0,0,0,59,10,1,49,,,
401754531,2024,3,0,2,2,0,52,19,26.0,9.5,16.5,1.0,0,0,0,0,0,0,0,0,2,2,0,59,48,29.5,24.0,5.5,1.0,0,0,0,0,0,0,0,0,0.0,-3.5,-14.5,11.0,0,0,0,0,0,0.5,0,0,0,24,34,0,-10,,,
401754532,2024,3,0,2,1,1,53,65,26.5,32.5,-6.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,26.5,32.5,-6.0,0,0,0,0,0,0.5,0,0,0,66,24,1,42,,,
401754533,2024,3,0,2,0,2,23,50,11.5,25.0,-13.5,0.0,0,0,0,0,0,0,0,0,2,1,1,106,52,53.0,26.0,27.0,0.5,0,0,0,0,0,0,0,0,-0.5,-41.5,-1.0,-40.5,0,0,0,0,0,0.5,0,0,0,30,20,1,10,,,
401754534,2024,3,0,2,2,0,56,34,28.0,17.0,11.0,1.0,0,0,0,0,0,0,0,0,2,1,1,64,62,32.0,31.0,1.0,0.5,0,0,0,0,0,0,0,0,0.5,-4.0,-14.0,10.0,0,0,0,0,0,0.5,0,0,0,34,27,1,7,,,
401754535,2024,3,0,2,2,0,72,27,36.0,13.5,22.5,1.0,0,0,0,0,0,0,0,0,2,2,0,52,23,26.0,11.5,14.5,1.0,0,0,0,0,0,0,0,0,0.0,10.0,2.0,8.0,0,0,0,0,0,0.5,0,0,0,49,12,1,37,,,
401754536,2024,3,0,2,0,2,31,68,15.5,34.0,-18.5,0.0,0,0,0,0,0,0,0,0,2,1,1,68,33,34.0,16.5,17.5,0.5,0,0,0,0,0,0,0,0,-0.5,-18.5,17.5,-36.0,0,0,0,0,0,0.5,0,0,0,26,45,0,-19,,,
401754615,2024,3,0,2,1,1,34,93,17.0,46.5,-29.5,0.5,0,0,0,0,0,0,0,0,2,1,1,87,61,43.5,30.5,13.0,0.5,0,0,0,0,0,0,0,0,0.0,-26.5,16.0,-42.5,0,0,0,0,0,0.5,0,0,0,10,28,0,-18,,,
401754619,2024,3,0,2,1,1,79,42,39.5,21.0,18.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,39.5,21.0,18.5,0,0,0,0,0,0.5,0,0,0,55,16,1,39,,,
401754623,2024,3,0,2,2,0,86,32,43.0,16.0,27.0,1.0,0,0,0,0,0,0,0,0,2,1,1,37,33,18.5,16.5,2.0,0.5,0,0,0,0,0,0,0,0,0.5,24.5,-0.5,25.0,0,0,0,0,0,0.5,0,0,0,24,21,1,3,,,
