game_id,season,week,week_normalized,home_team_id,away_team_id,home_score,away_score,point_spread,total_points,home_win,neutral_site,conference_game,temperature,wind_speed,is_dome,home_hist_games_played,home_hist_ppg,home_hist_papg,home_hist_win_pct,home_hist_ypg,home_hist_turnover_pg,away_hist_games_played,away_hist_ppg,away_hist_papg,away_hist_ypg,away_hist_turnover_pg,away_hist_win_pct,odds_opening_spread,odds_latest_spread,odds_line_movement,odds_opening_total,odds_latest_total,odds_opening_ml_home,odds_latest_ml_home,odds_opening_ml_away,odds_latest_ml_away,home_drive_total_drives,home_drive_ppd,home_drive_ypd,home_drive_plays_per_drive,home_drive_seconds_per_drive,home_drive_scoring_pct,home_drive_redzone_pct,home_drive_three_and_out_pct,home_drive_explosive_drive_pct,home_drive_def_ppd,home_drive_def_ypd,home_drive_def_scoring_pct,home_drive_def_three_and_out_forced,away_drive_total_drives,away_drive_ppd,away_drive_ypd,away_drive_plays_per_drive,away_drive_seconds_per_drive,away_drive_scoring_pct,away_drive_redzone_pct,away_drive_three_and_out_pct,away_drive_explosive_drive_pct,away_drive_def_ppd,away_drive_def_ypd,away_drive_def_scoring_pct,away_drive_def_three_and_out_forced,ppg_differential,papg_differential,win_pct_differential,ppd_differential,scoring_pct_differential,stats_reliability,vegas_reliability,using_prev_season,weighted_ppg_diff,weighted_vegas_spread,prev_season_ppg_diff
401671770,2024,1,0.0454545454545454,27,28,37,20,17,57,1,0,0,0,0,0,2.0,27.5,20.0,0.5,417.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,-3.4,0.1,43.7,42.4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,20.0,0.5,0.0,0.0,0.0,1.0,1,0.0,-3.4,27.5
401671789,2024,1,0.0454545454545454,12,33,27,20,7,47,1,0,0,0,0,0,4.0,23.75,15.75,1.0,386.0,1.0,2.0,22.0,13.5,344.0,1.5,0.5,-2.95,-2.8,0.1500000000000003,46.35,46.7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,2.25,0.5,0.0,0.0,0.0,1.0,1,0.0,-2.8,1.75
401671792,2024,1,0.0454545454545454,8,14,26,20,6,46,1,0,0,0,0,1,3.0,28.666666666666668,26.666666666666668,0.6666666666666666,389.0,0.3333333333333333,1.0,23.0,24.0,425.0,0.0,0.0,-3.5,-4.4,-0.9000000000000004,50.9,52.3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666668,2.666666666666668,0.6666666666666666,0.0,0.0,0.0,1.0,1,0.0,-4.4,5.666666666666668
401671805,2024,1,0.0454545454545454,21,9,34,29,5,63,1,1,0,0,0,0,1.0,9.0,32.0,0.0,276.0,0.0,2.0,34.5,28.0,372.5,1.0,0.5,-2.65,-2.0,0.6499999999999999,48.8,49.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-25.5,4.0,-0.5,0.0,0.0,0.0,1.0,1,-0.0,-2.0,-25.5
401671849,2024,1,0.0454545454545454,15,30,20,17,3,37,1,0,0,0,0,0,1.0,7.0,26.0,0.0,264.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,-3.4,-0.2999999999999998,49.7,49.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,1.0,1,0.0,-3.4,7.0
401671861,2024,1,0.0454545454545454,11,34,27,29,-2,56,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27.5,24.0,284.5,0.0,0.5,2.35,2.8,0.4499999999999997,48.9,48.6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-27.5,-24.0,-0.5,0.0,0.0,0.0,1.0,1,-0.0,2.8,-27.5
401671624,2024,2,0.0909090909090909,33,13,23,26,-3,49,0,0,0,0,0,0,1.0,20.0,27.0,0.0,452.0,1.0,1.0,10.0,22.0,296.0,3.0,0.0,-8.722222222222221,-8.7,0.0222222222222221,42.55555555555556,41.4,0,0,0,0,10,2.3,42.2,7.7,202.3,0.4,0,0.1,0.9,2.7,35.2,0.5,0.2,13,1.0,23.53846153846154,4.6923076923076925,146.46153846153845,0.1538461538461538,0,0.4615384615384615,0.3846153846153846,1.7692307692307692,22.384615384615383,0.3846153846153846,0.4615384615384615,10.0,5.0,0.0,1.2999999999999998,0.2461538461538461,0.2,0.8,0,2.0,-6.96,0.0
401671635,2024,2,0.0909090909090909,30,5,13,18,-5,31,0,0,0,0,0,0,1.0,17.0,20.0,0.0,267.0,1.0,1.0,17.0,33.0,230.0,2.0,0.0,-3.0,-3.0,0.0,42.388888888888886,41.4,0,0,0,0,11,1.5454545454545454,26.818181818181817,4.636363636363637,146.36363636363637,0.2727272727272727,0,0.3636363636363636,0.3636363636363636,2.090909090909091,36.45454545454545,0.3636363636363636,0.0909090909090909,14,1.7142857142857142,15.0,5.071428571428571,132.42857142857142,0.2857142857142857,0,0.5,0.2142857142857142,1.8571428571428568,17.071428571428573,0.4285714285714285,0.5,0.0,-13.0,0.0,-0.1688311688311687,-0.0129870129870129,0.2,0.8,0,0.0,-2.4000000000000004,0.0
401671636,2024,2,0.0909090909090909,10,20,17,24,-7,41,0,0,0,0,0,0,1.0,17.0,24.0,0.0,244.0,3.0,1.0,19.0,32.0,266.0,2.0,0.0,4.2,4.0,-0.2000000000000001,43.3,41.2,0,0,0,0,13,2.3846153846153846,16.846153846153847,4.769230769230769,161.0,0.3846153846153846,0,0.4615384615384615,0.2307692307692307,0.9,13.8,0.3,0.3,10,2.1,26.6,4.9,128.0,0.3,0,0.6,0.4,3.2,38.6,0.8,0.2,-2.0,-8.0,0.0,0.2846153846153845,0.0846153846153846,0.2,0.8,0,-0.4,3.2,0.0
401671645,2024,2,0.0909090909090909,16,25,23,17,6,40,1,0,0,0,0,1,1.0,28.0,6.0,1.0,312.0,2.0,1.0,32.0,19.0,401.0,0.0,1.0,5.5,5.2,-0.2999999999999998,45.0625,46.4,0,0,0,0,10,2.1,33.1,5.1,165.4,0.3,0,0.4,0.6,1.181818181818182,18.818181818181817,0.2727272727272727,0.2727272727272727,10,3.2,38.6,7.6,232.0,0.8,0,0.2,0.7,2.1,26.6,0.3,0.6,-4.0,-13.0,0.0,-1.1,-0.5,0.2,0.8,0,-0.8,4.16,0.0
401671652,2024,2,0.0909090909090909,29,24,3,26,-23,29,0,0,0,0,0,0,1.0,10.0,47.0,0.0,193.0,3.0,1.0,22.0,10.0,316.0,0.0,1.0,5.055555555555555,5.9,0.844444444444445,39.44444444444444,38.7,0,0,0,0,13,0.7692307692307693,14.923076923076923,4.307692307692308,107.76923076923076,0.1538461538461538,0,0.5384615384615384,0.2307692307692307,4.2727272727272725,34.54545454545455,0.8181818181818182,0.1818181818181818,13,1.7692307692307692,22.384615384615383,4.384615384615385,130.46153846153845,0.3846153846153846,0,0.4615384615384615,0.2307692307692307,1.0,23.53846153846154,0.1538461538461538,0.4615384615384615,-12.0,37.0,-1.0,-1.0,-0.2307692307692307,0.2,0.8,0,-2.4000000000000004,4.720000000000001,0.0
401671668,2024,2,0.0909090909090909,7,23,6,13,-7,19,0,0,0,0,0,0,1.0,20.0,26.0,0.0,231.0,3.0,1.0,18.0,10.0,270.0,0.0,1.0,2.7777777777777777,2.5,-0.2777777777777777,37.333333333333336,36.5,0,0,0,0,15,1.0666666666666669,14.533333333333331,4.8,124.93333333333334,0.2666666666666666,0,0.4666666666666667,0.2666666666666666,1.8,20.53333333333333,0.4666666666666667,0.3333333333333333,10,1.8,24.0,7.2,213.6,0.6,0,0.2,0.6,1.0,21.1,0.2,0.5,2.0,16.0,-1.0,-0.7333333333333334,-0.3333333333333333,0.2,0.8,0,0.4,2.0,0.0
401671670,2024,2,0.0909090909090909,12,4,26,25,1,51,1,0,0,0,0,0,1.0,27.0,20.0,1.0,353.0,1.0,1.0,10.0,16.0,224.0,2.0,0.0,-5.875,-5.7,0.1749999999999998,47.05555555555556,48.1,0,0,0,0,10,2.7,35.2,5.2,157.7,0.5,0,0.2,0.6,2.3,42.2,0.4,0.1,8,1.25,31.125,6.125,194.625,0.25,0,0.5,0.5,1.6,28.5,0.4,0.3,17.0,4.0,1.0,1.4500000000000002,0.25,0.2,0.8,0,3.4000000000000004,-4.5600000000000005,0.0
401671691,2024,2,0.0909090909090909,21,1,21,22,-1,43,0,0,0,0,0,0,1.0,34.0,29.0,1.0,410.0,3.0,1.0,10.0,18.0,226.0,3.0,0.0,-5.5,-6.5,-1.0,46.05,47.1,0,0,0,0,11,3.090909090909091,37.09090909090909,6.909090909090909,178.8181818181818,0.5454545454545454,0,0.3636363636363636,0.6363636363636364,3.0,37.18181818181818,0.5454545454545454,0.0909090909090909,10,1.0,21.1,5.1,146.4,0.2,0,0.5,0.3,1.8,24.0,0.6,0.2,24.0,11.0,1.0,2.090909090909091,0.3454545454545454,0.2,0.8,0,4.800000000000001,-5.2,0.0
