team_id,off_points_per_drive,off_total_points,off_yards_per_drive,off_yards_std,off_plays_per_drive,off_plays_std,off_seconds_per_drive,off_seconds_std,off_scoring_pct,off_scoring_drives,off_total_drives,off_redzone_scoring_pct,off_redzone_attempts,off_three_and_outs,off_three_and_out_pct,off_explosive_drives,off_explosive_pct,off_home_ppd,off_away_ppd,off_dome_ppd,off_outdoor_ppd,def_points_per_drive,def_yards_per_drive,def_plays_per_drive,def_scoring_pct,def_total_drives,def_three_and_out_forced,def_redzone_stops,ppd_differential,ypd_differential,scoring_pct_differential
2,2.4545454545454546,297,33.0,31.29829601325499,6.31404958677686,3.690151437387631,161.73553719008265,113.03876684534983,0.4297520661157025,52,121,0.0,0.0,33,0.2727272727272727,66.0,0.5454545454545454,2.609375,2.280701754385965,0.0,2.4545454545454546,1.9523809523809523,29.547619047619047,5.920634920634921,0.3333333333333333,126,0.3333333333333333,0,0.5021645021645023,3.4523809523809526,0.09641873278236918
5,2.5,295,37.279661016949156,30.727611012192064,6.5423728813559325,3.624805489144223,171.47457627118644,117.83848948675374,0.3898305084745763,46,118,0.0,0.0,25,0.211864406779661,77.0,0.652542372881356,2.7096774193548385,2.267857142857143,0.0,2.5,3.5982905982905984,40.75213675213675,6.239316239316239,0.5641025641025641,117,0.1794871794871795,0,-1.0982905982905984,-3.4724757351875937,-0.1742720556279878
6,2.556451612903226,317,33.16129032258065,30.502668708188992,6.362903225806452,3.9164748489670065,171.7741935483871,122.72481204391501,0.3870967741935484,48,124,0.0,0.0,35,0.28225806451612906,66.0,0.532258064516129,2.557142857142857,2.5555555555555554,0.0,2.556451612903226,2.6097560975609757,32.048780487804876,5.951219512195122,0.3983739837398374,123,0.3170731707317073,0,-0.05330448465774973,1.1125098347757714,-0.011277209546289024
8,3.1475409836065573,384,42.51639344262295,31.617610326414848,6.122950819672131,3.274186212317987,157.8360655737705,99.83783219857771,0.5,61,122,0.0,0.0,29,0.23770491803278687,84.0,0.6885245901639344,3.283582089552239,2.981818181818182,0.0,3.1475409836065573,2.952755905511811,37.71653543307087,6.078740157480315,0.49606299212598426,127,0.25196850393700787,0,0.1947850780947462,4.799858009552082,0.003937007874015741
9,2.2426470588235294,305,33.75,30.49025345180908,6.147058823529412,3.7762011319720186,159.64705882352942,115.78725890450443,0.3897058823529412,53,136,0.0,0.0,36,0.2647058823529412,83.0,0.6102941176470589,2.5205479452054793,1.9206349206349207,0.0,2.2426470588235294,1.9850746268656716,27.41044776119403,5.574626865671642,0.3208955223880597,134,0.34328358208955223,0,0.25757243195785784,6.339552238805972,0.0688103599648815
12,2.946564885496183,386,33.68702290076336,30.54431433166866,5.8320610687022905,3.4843665614718926,150.04580152671755,105.11699435137973,0.40458015267175573,53,131,0.0,0.0,35,0.26717557251908397,72.0,0.549618320610687,2.9761904761904763,2.893617021276596,0.0,2.946564885496183,1.7894736842105263,25.353383458646615,5.7518796992481205,0.2932330827067669,133,0.3308270676691729,0,1.1570912012856567,8.333639442116745,0.11134706996498883
13,1.2307692307692308,16,19.076923076923077,19.272007067512625,4.6923076923076925,2.7502913598567273,132.76923076923077,85.27519553984601,0.3076923076923077,4,13,0.0,0.0,5,0.38461538461538464,5.0,0.38461538461538464,0.0,1.2307692307692308,0.0,1.2307692307692308,4.666666666666667,41.5,6.083333333333333,0.6666666666666666,12,0.25,0,-3.435897435897436,-22.423076923076923,-0.3589743589743589
16,2.7,27,33.5,33.41739400704702,6.3,4.547282460742655,169.6,134.69570643986145,0.4,4,10,0.0,0.0,2,0.2,5.0,0.5,0.0,2.7,0.0,2.7,1.3,38.2,7.1,0.3,10,0.2,0,1.4000000000000001,-4.700000000000003,0.10000000000000003
21,2.023076923076923,263,27.784615384615385,28.11768860773627,5.461538461538462,3.15283518564031,152.84615384615384,99.30584356666921,0.36153846153846153,47,130,0.0,0.0,42,0.3230769230769231,68.0,0.5230769230769231,2.5217391304347827,1.459016393442623,0.0,2.023076923076923,1.2406015037593985,21.451127819548873,5.481203007518797,0.18796992481203006,133,0.42105263157894735,0,0.7824754193175245,6.333487565066513,0.17356853672643147
23,2.2803030303030303,301,34.40151515151515,29.372797263128305,5.848484848484849,3.362307569305398,140.90151515151516,103.03870612308201,0.3560606060606061,47,132,0.0,0.0,37,0.2803030303030303,80.0,0.6060606060606061,2.826923076923077,1.925,0.0,2.2803030303030303,2.658536585365854,35.46341463414634,6.203252032520325,0.43902439024390244,123,0.2601626016260163,0,-0.3782335550628235,-1.0618994826311905,-0.08296378418329636
24,1.6484375,211,26.46875,31.104076624731448,5.7421875,3.942991577310324,153.1640625,121.8603032224866,0.2890625,37,128,0.0,0.0,50,0.390625,56.0,0.4375,2.0,1.3181818181818181,0.0,1.6484375,2.558139534883721,33.46511627906977,6.038759689922481,0.4418604651162791,129,0.24031007751937986,0,-0.909702034883721,-6.996366279069768,-0.15279796511627908
25,2.2406015037593985,298,26.49624060150376,28.166341416487818,5.7293233082706765,3.6079202007504136,142.94736842105263,117.64676944330674,0.3609022556390977,48,133,0.0,0.0,42,0.3157894736842105,75.0,0.5639097744360902,2.1129032258064515,2.352112676056338,0.0,2.2406015037593985,1.9849624060150375,28.68421052631579,5.661654135338346,0.3383458646616541,133,0.3082706766917293,0,0.255639097744361,-2.1879699248120303,0.022556390977443608
