game_id,season,week,week_normalized,home_team_id,away_team_id,home_score,away_score,point_spread,total_points,home_win,neutral_site,conference_game,temperature,wind_speed,is_dome,home_hist_games_played,home_hist_ppg,home_hist_papg,home_hist_win_pct,home_hist_ypg,home_hist_turnover_pg,away_hist_games_played,away_hist_ppg,away_hist_papg,away_hist_win_pct,away_hist_ypg,away_hist_turnover_pg,odds_opening_spread,odds_latest_spread,odds_line_movement,odds_opening_total,odds_latest_total,odds_opening_ml_home,odds_latest_ml_home,odds_opening_ml_away,odds_latest_ml_away,home_drive_total_drives,home_drive_ppd,home_drive_ypd,home_drive_plays_per_drive,home_drive_seconds_per_drive,home_drive_scoring_pct,home_drive_redzone_pct,home_drive_three_and_out_pct,home_drive_explosive_drive_pct,home_drive_def_ppd,home_drive_def_ypd,home_drive_def_scoring_pct,home_drive_def_three_and_out_forced,away_drive_total_drives,away_drive_ppd,away_drive_ypd,away_drive_plays_per_drive,away_drive_seconds_per_drive,away_drive_scoring_pct,away_drive_redzone_pct,away_drive_three_and_out_pct,away_drive_explosive_drive_pct,away_drive_def_ppd,away_drive_def_ypd,away_drive_def_scoring_pct,away_drive_def_three_and_out_forced,ppg_differential,papg_differential,win_pct_differential,ppd_differential,scoring_pct_differential,stats_reliability,vegas_reliability,using_prev_season,weighted_ppg_diff,weighted_vegas_spread,prev_season_ppg_diff
401772828,2025,1,0.045454545454545456,30,29,26,10,16,36,1,0,0,0,0,0,17.0,18.823529411764707,25.58823529411765,0.23529411764705882,306.2352941176471,1.411764705882353,17.0,20.058823529411764,31.41176470588235,0.29411764705882354,298.0,1.2941176470588236,-2.9545454545454546,-3.5,-0.5454545454545454,46.40909090909091,46.9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.235294117647058,-5.823529411764703,-0.05882352941176472,0.0,0.0,0.0,1.0,1,-0.0,-3.5,-1.235294117647058
401772829,2025,1,0.045454545454545456,5,4,16,17,-1,33,0,0,0,0,0,0,17.0,15.176470588235293,25.58823529411765,0.17647058823529413,300.8235294117647,2.0,17.0,27.764705882352942,25.529411764705884,0.5294117647058824,365.52941176470586,1.2941176470588236,5.5,5.2,-0.2999999999999998,47.5,47.9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-12.588235294117649,0.0588235294117645,-0.3529411764705882,0.0,0.0,0.0,1.0,1,-0.0,5.2,-12.588235294117649
401772830,2025,1,0.045454545454545456,1,27,20,23,-3,43,0,0,0,0,0,1,17.0,22.88235294117647,24.88235294117647,0.47058823529411764,369.8235294117647,1.411764705882353,17.0,29.529411764705884,22.647058823529413,0.5882352941176471,399.5882352941176,1.3529411764705883,2.3181818181818183,1.8,-0.5181818181818183,46.31818181818182,47.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.647058823529413,2.235294117647058,-0.11764705882352944,0.0,0.0,0.0,1.0,1,-0.0,1.8,-6.647058823529413
401772831,2025,1,0.045454545454545456,26,25,13,17,-4,30,0,0,0,0,0,1,17.0,22.058823529411764,21.647058823529413,0.5882352941176471,332.1764705882353,1.411764705882353,17.0,22.88235294117647,25.647058823529413,0.35294117647058826,376.29411764705884,1.588235294117647,2.3636363636363638,2.4,0.036363636363636154,44.09090909090909,43.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8235294117647065,-4.0,0.23529411764705882,0.0,0.0,0.0,1.0,1,-0.0,2.4,-0.8235294117647065
401772832,2025,1,0.045454545454545456,7,10,20,12,8,32,1,0,0,0,0,0,17.0,25.0,18.294117647058822,0.5882352941176471,324.5882352941176,1.1176470588235294,17.0,18.294117647058822,27.058823529411764,0.17647058823529413,304.2352941176471,2.0,-8.181818181818182,-8.6,-0.418181818181818,41.54545454545455,42.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.7058823529411775,-8.764705882352942,0.4117647058823529,0.0,0.0,0.0,1.0,1,0.0,-8.6,6.7058823529411775
401772918,2025,1,0.045454545454545456,2,33,41,40,1,81,1,0,0,0,0,0,17.0,30.88235294117647,21.647058823529413,0.7647058823529411,359.11764705882354,0.47058823529411764,16.0,30.4375,22.4375,0.6875,424.5,0.6875,-0.22727272727272727,0.8,1.0272727272727273,51.59090909090909,50.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.444852941176471,-0.790441176470587,0.07720588235294112,0.0,0.0,0.0,1.0,1,0.0,0.8,0.444852941176471
401772715,2025,2,0.09090909090909091,34,27,19,20,-1,39,0,0,0,0,0,1,1.0,9.0,14.0,0.0,265.0,2.0,1.0,23.0,20.0,1.0,260.0,0.0,-2.5,-2.4,0.10000000000000009,42.40909090909091,42.6,0,0,0,0,45,1.0,26.666666666666668,6.666666666666667,209.44444444444446,0.3333333333333333,0,0.2222222222222222,0.5555555555555556,1.5555555555555556,31.444444444444443,0.2222222222222222,0.2222222222222222,50,2.7,27.0,5.8,148.8,0.4,0,0.4,0.6,2.3,37.9,0.4,0.2,-14.0,-6.0,-1.0,-1.7000000000000002,-0.06666666666666671,0.2,0.8,0,-2.8000000000000003,-1.92,0.0
401772724,2025,2,0.09090909090909091,10,14,19,33,-14,52,0,0,0,0,0,0,1.0,12.0,20.0,0.0,133.0,2.0,1.0,14.0,9.0,1.0,296.0,1.0,5.181818181818182,5.5,0.31818181818181834,42.09090909090909,41.4,0,0,0,0,70,0.8571428571428571,6.214285714285714,4.214285714285714,120.28571428571429,0.2857142857142857,0,0.35714285714285715,0.21428571428571427,1.4285714285714286,24.5,0.2857142857142857,0.2857142857142857,45,1.5555555555555556,31.444444444444443,6.333333333333333,190.55555555555554,0.2222222222222222,0,0.2222222222222222,0.7777777777777778,1.0,26.666666666666668,0.3333333333333333,0.2222222222222222,-2.0,11.0,-1.0,-0.6984126984126985,0.06349206349206349,0.2,0.8,0,-0.4,4.4,0.0
401772725,2025,2,0.09090909090909091,4,30,31,27,4,58,1,0,0,0,0,0,1.0,17.0,16.0,1.0,141.0,0.0,1.0,26.0,10.0,1.0,378.0,1.0,-3.5,-3.4,0.10000000000000009,50.18181818181818,49.0,0,0,0,0,50,1.7,15.2,5.0,145.1,0.3,0,0.6,0.2,2.0,31.8,0.3,0.4,50,2.6,31.6,6.7,186.0,0.6,0,0.3,0.6,1.0,27.6,0.2,0.2,-9.0,6.0,0.0,-0.9000000000000001,-0.3,0.2,0.8,0,-1.8,-2.72,0.0
401772726,2025,2,0.09090909090909091,33,5,41,17,24,58,1,0,0,0,0,0,1.0,40.0,41.0,0.0,432.0,1.0,1.0,16.0,17.0,0.0,327.0,2.0,-12.333333333333334,-11.6,0.7333333333333343,45.333333333333336,45.1,0,0,0,0,55,3.727272727272727,38.81818181818182,4.7272727272727275,137.36363636363637,0.6363636363636364,0,0.36363636363636365,0.6363636363636364,3.6666666666666665,42.833333333333336,0.6666666666666666,0.16666666666666666,50,2.0,31.8,7.3,214.9,0.3,0,0.4,0.7,1.7,15.2,0.3,0.6,24.0,24.0,0.0,1.727272727272727,0.33636363636363636,0.2,0.8,0,4.800000000000001,-9.28,0.0
