home_games_played,home_wins,home_losses,home_points_scored_total,home_points_allowed_total,home_points_scored_avg,home_points_allowed_avg,home_point_differential_avg,home_win_pct,home_total_yards_avg,home_passing_yards_avg,home_rushing_yards_avg,home_turnovers_avg,home_first_downs_avg,home_third_down_pct,home_penalties_avg,home_penalty_yards_avg,away_games_played,away_wins,away_losses,away_points_scored_total,away_points_allowed_total,away_points_scored_avg,away_points_allowed_avg,away_point_differential_avg,away_win_pct,away_total_yards_avg,away_passing_yards_avg,away_rushing_yards_avg,away_turnovers_avg,away_first_downs_avg,away_third_down_pct,away_penalties_avg,away_penalty_yards_avg,home_off_points_per_drive,home_off_yards_per_drive,home_off_plays_per_drive,home_off_seconds_per_drive,home_off_scoring_pct,home_off_redzone_scoring_pct,home_off_explosive_pct,home_off_three_and_out_pct,home_off_total_drives,home_def_points_per_drive,home_def_yards_per_drive,home_def_scoring_pct,home_def_three_and_out_forced,home_def_redzone_stops,home_ppd_differential,home_ypd_differential,home_scoring_pct_differential,away_off_points_per_drive,away_off_yards_per_drive,away_off_plays_per_drive,away_off_seconds_per_drive,away_off_scoring_pct,away_off_redzone_scoring_pct,away_off_explosive_pct,away_off_three_and_out_pct,away_off_total_drives,away_def_points_per_drive,away_def_yards_per_drive,away_def_scoring_pct,away_def_three_and_out_forced,away_def_redzone_stops,away_ppd_differential,away_ypd_differential,away_scoring_pct_differential,points_scored_diff,points_allowed_diff,win_pct_diff,total_yards_diff,ppd_matchup_diff,home_score,away_score,home_win,point_spread,total_points,game_id,week
2,1,1,80,31,40.0,15.5,24.5,0.5,0,0,0,0,0,0,0,0,2,2,0,82,10,41.0,5.0,36.0,1.0,0,0,0,0,0,0,0,0,2.0,33.6,7.5,177.8,0.3,0,0.7,0.2,10,3.1,40.7,0.5,0.1,0,-1.1,-7.100000000000001,-0.2,2.8333333333333335,30.25,4.583333333333333,118.25,0.5,0,0.5,0.3333333333333333,12,0.5833333333333334,31.916666666666668,0.08333333333333333,0.16666666666666666,0,2.25,-1.6666666666666679,0.4166666666666667,-1.0,10.5,-0.5,0,-3.35,42,16,1,26,58,401628335,2
2,2,0,71,27,35.5,13.5,22.0,1.0,0,0,0,0,0,0,0,0,2,2,0,122,7,61.0,3.5,57.5,1.0,0,0,0,0,0,0,0,0,2.4545454545454546,34.09090909090909,7.090909090909091,169.9090909090909,0.45454545454545453,0,0.5454545454545454,0.18181818181818182,11,0.6363636363636364,21.727272727272727,0.09090909090909091,0.36363636363636365,0,1.8181818181818183,12.363636363636367,0.36363636363636365,4.0,42.23076923076923,5.923076923076923,154.3846153846154,0.6153846153846154,0,0.7692307692307693,0.23076923076923078,13,0.5833333333333334,17.5,0.08333333333333333,0.4166666666666667,0,3.4166666666666665,24.730769230769234,0.532051282051282,-25.5,10.0,0.0,0,-1.5984848484848482,39,31,1,8,70,401628336,2
2,2,0,111,27,55.5,13.5,42.0,1.0,0,0,0,0,0,0,0,0,2,2,0,65,28,32.5,14.0,18.5,1.0,0,0,0,0,0,0,0,0,3.4444444444444446,44.44444444444444,7.777777777777778,220.33333333333334,0.5555555555555556,0,0.6666666666666666,0.1111111111111111,9,2.4,48.1,0.4,0.1,0,1.0444444444444447,-3.6555555555555586,0.15555555555555556,3.1,24.9,5.2,134.0,0.5,0,0.6,0.2,10,1.7142857142857142,25.642857142857142,0.2857142857142857,0.2857142857142857,0,1.385714285714286,-0.7428571428571438,0.2142857142857143,23.0,-0.5,0.0,0,-0.34126984126984117,14,21,0,-7,35,401628337,2
2,1,1,72,41,36.0,20.5,15.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4.75,42.583333333333336,6.583333333333333,171.41666666666666,0.6666666666666666,0,0.75,0.08333333333333333,12,0.5,4.714285714285714,0.07142857142857142,0.8571428571428571,0,4.25,37.86904761904762,0.5952380952380952,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,36.0,20.5,0.5,0,4.25,45,7,1,38,52,401628338,2
2,2,0,79,10,39.5,5.0,34.5,1.0,0,0,0,0,0,0,0,0,1,0,1,25,32,25.0,32.0,-7.0,0.0,0,0,0,0,0,0,0,0,3.4615384615384617,37.92307692307692,5.923076923076923,159.15384615384616,0.5384615384615384,0,0.6153846153846154,0.15384615384615385,13,0.5,13.0,0.07142857142857142,0.6428571428571429,0,2.9615384615384617,24.92307692307692,0.46703296703296704,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,14.5,-27.0,1.0,0,2.9615384615384617,48,3,1,45,51,401628339,2
2,2,0,55,16,27.5,8.0,19.5,1.0,0,0,0,0,0,0,0,0,2,2,0,47,30,23.5,15.0,8.5,1.0,0,0,0,0,0,0,0,0,1.8461538461538463,26.0,5.153846153846154,144.92307692307693,0.38461538461538464,0,0.46153846153846156,0.3076923076923077,13,1.0769230769230769,25.153846153846153,0.15384615384615385,0.38461538461538464,0,0.7692307692307694,0.8461538461538467,0.23076923076923078,1.7,30.7,5.7,154.3,0.4,0,0.4,0.2,10,1.1818181818181819,28.727272727272727,0.36363636363636365,0.09090909090909091,0,0.5181818181818181,1.9727272727272727,0.036363636363636376,4.0,-7.0,0.0,0,0.2510489510489513,6,31,0,-25,37,401628340,2
2,1,1,37,37,18.5,18.5,0.0,0.5,0,0,0,0,0,0,0,0,2,0,2,37,63,18.5,31.5,-13.0,0.0,0,0,0,0,0,0,0,0,1.8181818181818181,34.18181818181818,6.545454545454546,202.36363636363637,0.2727272727272727,0,0.7272727272727273,0.2727272727272727,11,1.1818181818181819,22.818181818181817,0.18181818181818182,0.45454545454545453,0,0.6363636363636362,11.363636363636363,0.09090909090909088,1.8181818181818181,27.181818181818183,4.909090909090909,159.36363636363637,0.36363636363636365,0,0.5454545454545454,0.36363636363636365,11,3.4545454545454546,37.36363636363637,0.5454545454545454,0.18181818181818182,0,-1.6363636363636365,-10.181818181818183,-0.18181818181818177,0.0,-13.0,0.5,0,2.2727272727272725,44,21,1,23,65,401628341,2
2,2,0,139,7,69.5,3.5,66.0,1.0,0,0,0,0,0,0,0,0,2,1,1,46,59,23.0,29.5,-6.5,0.5,0,0,0,0,0,0,0,0,4.428571428571429,48.357142857142854,5.928571428571429,122.57142857142857,0.7142857142857143,0,0.7857142857142857,0.14285714285714285,14,0.6666666666666666,16.866666666666667,0.06666666666666667,0.5333333333333333,0,3.7619047619047623,31.490476190476187,0.6476190476190476,1.0769230769230769,12.923076923076923,4.538461538461538,98.3076923076923,0.15384615384615385,0,0.23076923076923078,0.38461538461538464,13,2.4285714285714284,23.714285714285715,0.42857142857142855,0.5,0,-1.3516483516483515,-10.791208791208792,-0.2747252747252747,46.5,-26.0,0.5,0,5.113553113553114,52,3,1,49,55,401628342,2
2,2,0,86,26,43.0,13.0,30.0,1.0,0,0,0,0,0,0,0,0,2,2,0,90,24,45.0,12.0,33.0,1.0,0,0,0,0,0,0,0,0,2.9285714285714284,29.857142857142858,4.5,121.14285714285714,0.42857142857142855,0,0.5714285714285714,0.35714285714285715,14,1.5384615384615385,27.23076923076923,0.3076923076923077,0.46153846153846156,0,1.3901098901098898,2.6263736263736277,0.12087912087912084,2.8333333333333335,34.666666666666664,6.75,151.75,0.5,0,0.5833333333333334,0.3333333333333333,12,1.4166666666666667,25.083333333333332,0.25,0.3333333333333333,0,1.4166666666666667,9.583333333333332,0.25,-2.0,1.0,0.0,0,-0.026556776556776907,30,23,1,7,53,401628343,2
2,2,0,112,6,56.0,3.0,53.0,1.0,0,0,0,0,0,0,0,0,2,1,1,40,36,20.0,18.0,2.0,0.5,0,0,0,0,0,0,0,0,5.0,48.90909090909091,6.454545454545454,151.54545454545453,0.8181818181818182,0,0.7272727272727273,0.18181818181818182,11,1.1666666666666667,18.75,0.16666666666666666,0.4166666666666667,0,3.833333333333333,30.159090909090907,0.6515151515151516,1.3,15.1,4.6,129.0,0.2,0,0.2,0.6,10,2.090909090909091,42.54545454545455,0.45454545454545453,0.0,0,-0.7909090909090908,-27.445454545454545,-0.2545454545454545,36.0,-15.0,0.5,0,4.624242424242424,38,0,1,38,38,401628344,2
